cluster_id,size,representative,member,is_representative,missing_rate
67,3,sagittal_abd_diameter_1,sagittal_abd_diameter_1,True,0.2906
67,3,sagittal_abd_diameter_1,sagittal_abd_diameter_2,False,0.2906
67,3,sagittal_abd_diameter_1,sagittal_abd_diameter_avg,False,0.2906
296,3,sub_fasting_weight,sub_fasting_weight,True,0.6728
296,3,sub_fasting_weight,sub_fasting_weight_a,False,0.6728
296,3,sub_fasting_weight,sub_fasting_weight_b,False,0.6728
377,3,oral_hpv_high_risk_any,oral_hpv_high_risk_any,True,0.503
377,3,oral_hpv_high_risk_any,oral_hpv_low_risk_any,False,0.503
377,3,oral_hpv_high_risk_any,oral_hpv_type_64,False,0.503
705,3,smoke_questionnaire_source_a,smoke_questionnaire_source_a,True,0.0032
705,3,smoke_questionnaire_source_a,smoke_questionnaire_source_2,False,0.2955
705,3,smoke_questionnaire_source_a,smoke_questionnaire_source_b,False,0.3141
291,2,urine_albumin_mgl,urine_albumin_mgl,True,0.2086
291,2,urine_albumin_mgl,urine_albumin_ugml,False,0.2086
293,2,urine_creatinine_umoll,urine_creatinine_umoll,True,0.2086
293,2,urine_creatinine_umoll,urine_creatinine_mgdl_a,False,0.2086
297,2,apolipoprotein_b_gl,apolipoprotein_b_gl,True,0.6909
297,2,apolipoprotein_b_gl,apolipoprotein_b_mgdl,False,0.6909
299,2,albumin_gdl,albumin_gdl,True,0.356
299,2,albumin_gdl,albumin_gl,False,0.356
304,2,bun_mgdl,bun_mgdl,True,0.356
304,2,bun_mgdl,bun_mmoll,False,0.356
307,2,calcium_total_mgdl,calcium_total_mgdl,True,0.3601
307,2,calcium_total_mgdl,calcium_total_mmoll,False,0.3601
309,2,cholesterol_serum_mgdl,cholesterol_serum_mgdl,True,0.3562
309,2,cholesterol_serum_mgdl,cholesterol_serum_mmoll,False,0.3562
313,2,creatinine_mgdl,creatinine_mgdl,True,0.356
313,2,creatinine_mgdl,creatinine_umoll,False,0.356
315,2,globulin_gdl,globulin_gdl,True,0.3569
315,2,globulin_gdl,globulin_gl,False,0.3569
317,2,glucose_serum_mgdl,glucose_serum_mgdl,True,0.356
317,2,glucose_serum_mgdl,glucose_serum_mmoll,False,0.356
320,2,iron_ugdl,iron_ugdl,True,0.3585
320,2,iron_ugdl,iron_umoll,False,0.3585
326,2,phosphorus_mgdl,phosphorus_mgdl,True,0.3561
326,2,phosphorus_mgdl,phosphorus_mmoll,False,0.3561
328,2,total_bilirubin_mgdl,total_bilirubin_mgdl,True,0.3564
328,2,total_bilirubin_mgdl,total_bilirubin_umoll,False,0.3564
330,2,total_protein_gdl,total_protein_gdl,True,0.3569
330,2,total_protein_gdl,total_protein_gl,False,0.3569
332,2,triglycerides_serum_mgdl,triglycerides_serum_mgdl,True,0.3564
332,2,triglycerides_serum_mgdl,triglycerides_serum_mmoll,False,0.3564
334,2,uric_acid_mgdl,uric_acid_mgdl,True,0.3562
334,2,uric_acid_mgdl,uric_acid_umoll,False,0.3562
361,2,fasting_hours_a,fasting_hours_a,True,0.0976
361,2,fasting_hours_a,fasting_hours_b,False,0.6766
362,2,fasting_minutes_a,fasting_minutes_a,True,0.0976
362,2,fasting_minutes_a,fasting_minutes_b,False,0.6766
365,2,hdl_cholesterol_mgdl,hdl_cholesterol_mgdl,True,0.2507
365,2,hdl_cholesterol_mgdl,hdl_cholesterol_mmoll,False,0.2507
418,2,insulin_pmoll,insulin_pmoll,True,0.696
418,2,insulin_pmoll,insulin_uuml,False,0.696
423,2,triglycerides_mgdl,triglycerides_mgdl,True,0.6908
423,2,triglycerides_mgdl,triglycerides_mmoll,False,0.6908
425,2,ldl_cholesterol_mgdl,ldl_cholesterol_mgdl,True,0.6948
425,2,ldl_cholesterol_mgdl,ldl_cholesterol_mmoll,False,0.6948
427,2,sub_h_weight_a,sub_h_weight_a,True,0.417
427,2,sub_h_weight_a,sub_h_weight_b,False,0.417
428,2,inorg_mercury_nmoll,inorg_mercury_nmoll,True,0.4914
428,2,inorg_mercury_nmoll,inorg_mercury_ugl,False,0.4914
435,2,cholesterol_total_mgdl,cholesterol_total_mgdl,True,0.2507
435,2,cholesterol_total_mgdl,cholesterol_total_mmoll,False,0.2507
439,2,blood_lead_ugdl,blood_lead_ugdl,True,0.4875
439,2,blood_lead_ugdl,blood_lead_umoll,False,0.4875
441,2,blood_cadmium_nmoll,blood_cadmium_nmoll,True,0.4875
441,2,blood_cadmium_nmoll,blood_cadmium_ugl,False,0.4875
444,2,blood_total_mercury_nmoll,blood_total_mercury_nmoll,True,0.4875
444,2,blood_total_mercury_nmoll,blood_total_mercury_ugl,False,0.4875
447,2,blood_selenium_ugl,blood_selenium_ugl,True,0.4875
447,2,blood_selenium_ugl,blood_selenium_umoll,False,0.4875
449,2,blood_manganese_nmoll,blood_manganese_nmoll,True,0.4875
449,2,blood_manganese_nmoll,blood_manganese_ugl,False,0.4875
454,2,vit_b12_serum_pgml,vit_b12_serum_pgml,True,0.4775
454,2,vit_b12_serum_pgml,vit_b12_serum_pmoll,False,0.4775
556,2,ec_birth_weight_lb,ec_birth_weight_lb,True,0.6354
556,2,ec_birth_weight_lb,ec_birth_weight_oz,False,0.6354
0,1,interview_exam_status,interview_exam_status,True,0.0
1,1,gender,gender,True,0.0
2,1,age_years,age_years,True,0.0
3,1,race_ethnicity,race_ethnicity,True,0.0
4,1,race_ethnicity_asian_detail,race_ethnicity_asian_detail,True,0.0
5,1,exam_period_6mo,exam_period_6mo,True,0.0356
6,1,age_months_at_exam,age_months_at_exam,True,0.5859
7,1,us_military_active_duty_ever,us_military_active_duty_ever,True,0.3847
8,1,country_of_birth,country_of_birth,True,0.0
9,1,us_citizenship_status,us_citizenship_status,True,0.0004
10,1,education_20_plus,education_20_plus,True,0.433
11,1,marital_status,marital_status,True,0.433
12,1,sp_interview_language,sp_interview_language,True,0.0
13,1,sp_interview_proxy_used,sp_interview_proxy_used,True,0.0001
14,1,sp_interview_interpreter_used,sp_interview_interpreter_used,True,0.0
15,1,family_interview_language,family_interview_language,True,0.0119
16,1,family_interview_proxy_used,family_interview_proxy_used,True,0.0119
17,1,family_interview_interpreter_used,family_interview_interpreter_used,True,0.0119
18,1,mec_interview_language,mec_interview_language,True,0.2815
19,1,mec_interview_proxy_used,mec_interview_proxy_used,True,0.2814
20,1,mec_interview_interpreter_used,mec_interview_interpreter_used,True,0.2813
21,1,mec_acasi_language,mec_acasi_language,True,0.3792
22,1,household_size,household_size,True,0.0
23,1,family_size,family_size,True,0.0
24,1,num_children_le5_in_hh,num_children_le5_in_hh,True,0.0
25,1,num_children_6_17_in_hh,num_children_6_17_in_hh,True,0.0
26,1,num_adults_ge60_in_hh,num_adults_ge60_in_hh,True,0.0
27,1,hh_ref_gender,hh_ref_gender,True,0.0
28,1,hh_ref_age_years,hh_ref_age_years,True,0.0
29,1,hh_ref_country_of_birth,hh_ref_country_of_birth,True,0.0292
30,1,hh_ref_education,hh_ref_education,True,0.0289
31,1,hh_ref_marital_status,hh_ref_marital_status,True,0.0121
32,1,hh_ref_spouse_education,hh_ref_spouse_education,True,0.475
33,1,interview_weight_2yr,interview_weight_2yr,True,0.0
34,1,mec_weight_2yr,mec_weight_2yr,True,0.0
35,1,pseudo_psu_var,pseudo_psu_var,True,0.0
36,1,pseudo_stratum_var,pseudo_stratum_var,True,0.0
37,1,household_income_range,household_income_range,True,0.0131
38,1,family_income_range,family_income_range,True,0.0121
39,1,poverty_income_ratio,poverty_income_ratio,True,0.0771
40,1,px_exam_status,px_exam_status,True,0.0356
41,1,px_exam_session_minutes,px_exam_session_minutes,True,0.0656
42,1,bp_arm_selected,bp_arm_selected,True,0.2595
43,1,bp_cuff_size,bp_cuff_size,True,0.2588
44,1,bp_pulse_60s,bp_pulse_60s,True,0.2581
45,1,bp_pulse_regularity,bp_pulse_regularity,True,0.0653
46,1,bp_pulse_type,bp_pulse_type,True,0.2566
47,1,bp_max_inflation_level,bp_max_inflation_level,True,0.2577
48,1,bp_systolic_1,bp_systolic_1,True,0.2951
49,1,bp_diastolic_1,bp_diastolic_1,True,0.2951
50,1,bp_enhancement_1,bp_enhancement_1,True,0.2591
51,1,bp_systolic_2,bp_systolic_2,True,0.2718
52,1,bp_diastolic_2,bp_diastolic_2,True,0.2718
53,1,bp_enhancement_2,bp_enhancement_2,True,0.2593
54,1,bp_systolic_3,bp_systolic_3,True,0.2719
55,1,bp_diastolic_3,bp_diastolic_3,True,0.2719
56,1,bp_enhancement_3,bp_enhancement_3,True,0.2593
57,1,bm_exam_status,bm_exam_status,True,0.0356
58,1,weight_kg,weight_kg,True,0.0444
59,1,standing_height_cm,standing_height_cm,True,0.1089
60,1,bmi,bmi,True,0.1101
61,1,bmi_category_child,bmi_category_child,True,0.6538
62,1,upper_leg_length_cm,upper_leg_length_cm,True,0.2725
63,1,upper_arm_length_cm,upper_arm_length_cm,True,0.0859
64,1,arm_circ_cm,arm_circ_cm,True,0.0859
65,1,waist_circ_cm,waist_circ_cm,True,0.1488
69,1,grip_exam_status,grip_exam_status,True,0.1852
70,1,grip_pain_in_hands_30d,grip_pain_in_hands_30d,True,0.4879
71,1,grip_difficulty_grasp_objects,grip_difficulty_grasp_objects,True,0.2382
72,1,grip_difficulty_reach_above_head,grip_difficulty_reach_above_head,True,0.2381
73,1,grip_months_since_hand_surgery,grip_months_since_hand_surgery,True,0.2327
74,1,grip_90deg_arm_possible,grip_90deg_arm_possible,True,0.2327
75,1,grip_seat_adjusted,grip_seat_adjusted,True,0.4879
76,1,grip_preferred_hand,grip_preferred_hand,True,0.2327
77,1,grip_start_testing_hand,grip_start_testing_hand,True,0.2327
78,1,grip_hand1_trial1_kg,grip_hand1_trial1_kg,True,0.2336
79,1,grip_hand1_trial1_effort,grip_hand1_trial1_effort,True,0.2336
80,1,grip_hand2_trial1_kg,grip_hand2_trial1_kg,True,0.245
81,1,grip_hand2_trial1_effort,grip_hand2_trial1_effort,True,0.245
82,1,grip_hand1_trial2_kg,grip_hand1_trial2_kg,True,0.2345
83,1,grip_hand1_trial2_effort,grip_hand1_trial2_effort,True,0.2345
84,1,grip_hand2_trial2_kg,grip_hand2_trial2_kg,True,0.246
85,1,grip_hand2_trial2_effort,grip_hand2_trial2_effort,True,0.246
86,1,grip_hand1_trial3_kg,grip_hand1_trial3_kg,True,0.2348
87,1,grip_hand1_trial3_effort,grip_hand1_trial3_effort,True,0.2348
88,1,grip_hand2_trial3_kg,grip_hand2_trial3_kg,True,0.2468
89,1,grip_hand2_trial3_effort,grip_hand2_trial3_effort,True,0.2468
90,1,grip_dynamometer_size,grip_dynamometer_size,True,0.2455
91,1,oh_exam_status,oh_exam_status,True,0.074
92,1,oh_dentition_status,oh_dentition_status,True,0.074
93,1,oh_implants_present,oh_implants_present,True,0.5755
94,1,tooth_01_count_code,tooth_01_count_code,True,0.1186
95,1,tooth_02_count_code,tooth_02_count_code,True,0.1186
96,1,tooth_03_count_code,tooth_03_count_code,True,0.1186
97,1,tooth_04_count_code,tooth_04_count_code,True,0.1186
98,1,tooth_05_count_code,tooth_05_count_code,True,0.1186
