,miss_M_pct,miss_F_pct,diff_FminusM,mean_miss
imm_hep_b_first_dose_given_site,100.0,40.29,-59.71,70.14
pa_moderate_recreation_minutes_day,70.44,69.49,-0.95,69.96
pa_moderate_recreation_days_wk,70.38,69.49,-0.89,69.94
insulin_pmoll,69.96,69.26,-0.7,69.61
ldl_cholesterol_mgdl,70.2,68.79,-1.41,69.5
cs_quinine_tongue_tip_taste,69.82,68.99,-0.83,69.4
cs_quinine_tongue_tip_grade,69.82,68.99,-0.83,69.4
pf_need_help_eating_dressing,67.94,70.75,2.81,69.34
cs_nacl_whole_mouth_grade,69.94,68.58,-1.36,69.26
cs_quinine_whole_mouth_grade,69.68,68.75,-0.93,69.22
cs_quinine_whole_mouth_taste,69.68,68.75,-0.93,69.22
apolipoprotein_b_gl,69.6,68.6,-1.0,69.1
triglycerides_mgdl,69.58,68.6,-0.98,69.09
smoke_work_exposure_days,65.94,71.44,5.5,68.69
rh_hormone_replacement_ever,100.0,37.1,-62.9,68.55
rh_had_period_12mo,100.0,37.05,-62.95,68.53
cs_nacl_whole_mouth_taste,69.1,67.69,-1.41,68.4
cs_salt_tongue_tip_grade,69.06,67.73,-1.33,68.4
cs_salt_tongue_tip_taste,69.06,67.73,-1.33,68.4
cs_nacl_tongue_tip_grade,69.1,67.67,-1.43,68.38
cs_nacl_tongue_tip_taste,69.1,67.67,-1.43,68.38
db_school_attendance,67.14,69.12,1.98,68.13
rh_age_first_menses,100.0,36.08,-63.92,68.04
shrimp_times_past30d,68.78,67.29,-1.49,68.04
tooth_04_sealant,66.56,69.24,2.68,67.9
tooth_02_sealant,66.56,69.24,2.68,67.9
tooth_03_sealant,66.56,69.24,2.68,67.9
tooth_12_sealant,66.56,69.24,2.68,67.9
tooth_05_sealant,66.56,69.24,2.68,67.9
tooth_18_sealant,66.56,69.24,2.68,67.9
tooth_31_sealant,66.56,69.24,2.68,67.9
tooth_30_sealant,66.56,69.24,2.68,67.9
tooth_29_sealant,66.56,69.24,2.68,67.9
tooth_28_sealant,66.56,69.24,2.68,67.9
tooth_21_sealant,66.56,69.24,2.68,67.9
tooth_20_sealant,66.56,69.24,2.68,67.9
tooth_19_sealant,66.56,69.24,2.68,67.9
tooth_15_sealant,66.56,69.24,2.68,67.9
tooth_14_sealant,66.56,69.24,2.68,67.9
tooth_13_sealant,66.56,69.24,2.68,67.9
tooth_10_sealant,66.56,69.24,2.68,67.9
