,r
grip_dynamometer_size,-0.46976289443942754
grip_hand1_trial3_kg,-0.46088551234705727
grip_hand2_trial2_kg,-0.4596841269304733
grip_hand1_trial2_kg,-0.45956497018049636
grip_hand2_trial3_kg,-0.45879993497915317
grip_hand2_trial1_kg,-0.45581119508100826
grip_hand1_trial1_kg,-0.45146078201138046
upper_leg_length_cm,-0.41860646287632547
uric_acid_mgdl,-0.40755382744564583
hemoglobin_gdl,-0.40368373139458424
hematocrit_pct,-0.3842586669357195
rbc_milionul,-0.380417767618501
albumin_gdl,-0.2709413181025795
us_military_active_duty_ever,0.2699537709545061
creatine_kinase_iul,-0.24759091060141136
d1_energy_kcal,-0.23680522097073678
sun_protection_wear_sunscreen,-0.2342066747991946
total_bilirubin_mgdl,-0.22904146077256246
d1_niacin_mg,-0.22864025089265477
d1_protein_g,-0.2284751947960121
d1_phosphorus_mg,-0.22797772287281398
creatinine_mgdl,-0.2274886498818184
d1_total_choline_mg,-0.21944113139939522
d1_sodium_mg,-0.21396248467217813
hdl_cholesterol_mgdl,0.21347932441957437
d1_selenium_mcg,-0.2102937585354247
d1_potassium_mg,-0.20804964929654335
d1_zinc_mg,-0.2077136470252545
d1_thiamin_b1_mg,-0.2068326363612834
d1_carbs_g,-0.2040625786300636
d1_riboflavin_b2_mg,-0.2021488060713171
iron_ugdl,-0.19495116732334558
standing_height_cm,-0.19286154047928095
monocyte_pct,-0.18893107486620492
alc_12_drinks_in_year,0.18889871846144907
cs_quinine_tongue_tip_grade,0.18861260921859507
alt_ul,-0.18836237085401852
d1_vit_b6_mg,-0.18744549909721725
d1_sfa_c16_g,-0.1863912212291651
d1_mufa_c16_1_g,-0.18519333596445417
hh_ref_gender,0.1841056537056239
pa_vigorous_work_ever,0.1828474781407947
d1_magnesium_mg,-0.18252481917715305
d1_total_fat_g,-0.1824043538003316
d1_iron_mg,-0.182143998952087
d1_mono_fat_g,-0.1805509903333838
d1_sat_fat_g,-0.17891471855627672
d1_sfa_c18_g,-0.17866092432253997
blood_manganese_nmoll,0.17650828164011922
urine_creatinine_umoll,-0.17173338966131202
d1_mufa_c18_1_g,-0.17136322331482565
alc_days_drink_past_year_unit,0.16891958486397263
alc_ever_5plus_per_day_most_days,0.16880084515244248
mchc_gdl,-0.16865894872076834
d1_pufa_c20_4_g,-0.1675072175641885
cb_nutrition_facts_nutrients,-0.1668540557034405
d1_cholesterol_mg,-0.16684176164568967
phq9_tired_little_energy,0.16423747720278106
cb_structure_claims_influence,-0.16246745967073173
smoke_100_cigs_lifetime,0.15901856384379973
d1_calcium_mg,-0.15564480696643127
d1_vit_b12_mcg,-0.15484921883879488
d1_total_folate_mcg,-0.15212253887860044
wh_weight_self_perception,-0.15092992585368795
mc_thyroid_problem_ever,-0.1503281296349448
wh_trying_lose_weight_year,-0.1486675041395028
platelets_1000ul,0.1486510434579352
cs_salt_tongue_tip_grade,0.14604184448379712
cs_quinine_whole_mouth_grade,0.14503859789892531
