gender,age_group,race,n,pct
M,<12,Non-Hispanic White,438,4.3
F,<12,Non-Hispanic White,398,3.91
M,<12,Non-Hispanic Black,393,3.86
F,65+,Non-Hispanic White,391,3.84
M,18-34,Non-Hispanic White,360,3.54
F,<12,Non-Hispanic Black,344,3.38
F,<12,Mexican American,333,3.27
F,18-34,Non-Hispanic White,333,3.27
M,65+,Non-Hispanic White,316,3.11
F,50-64,Non-Hispanic White,313,3.08
F,35-49,Non-Hispanic White,303,2.98
M,<12,Mexican American,295,2.9
M,35-49,Non-Hispanic White,278,2.73
M,50-64,Non-Hispanic White,277,2.72
M,<12,Other / Multi-Racial,248,2.44
F,<12,Other / Multi-Racial,217,2.13
F,18-34,Non-Hispanic Black,205,2.01
M,18-34,Non-Hispanic Black,182,1.79
F,50-64,Non-Hispanic Black,172,1.69
M,50-64,Non-Hispanic Black,170,1.67
M,<12,Other Hispanic,162,1.59
F,35-49,Non-Hispanic Black,154,1.51
F,18-34,Other / Multi-Racial,153,1.5
F,18-34,Mexican American,151,1.48
M,18-34,Other / Multi-Racial,150,1.47
M,12-17,Non-Hispanic Black,149,1.46
F,<12,Other Hispanic,146,1.43
M,12-17,Non-Hispanic White,142,1.4
F,35-49,Other / Multi-Racial,141,1.39
M,65+,Non-Hispanic Black,134,1.32
F,35-49,Mexican American,132,1.3
M,12-17,Mexican American,128,1.26
F,12-17,Non-Hispanic Black,127,1.25
F,12-17,Mexican American,126,1.24
M,18-34,Mexican American,126,1.24
F,12-17,Non-Hispanic White,125,1.23
M,35-49,Other / Multi-Racial,124,1.22
M,35-49,Non-Hispanic Black,124,1.22
M,50-64,Mexican American,115,1.13
F,65+,Non-Hispanic Black,113,1.11
M,35-49,Mexican American,111,1.09
F,50-64,Other / Multi-Racial,110,1.08
F,12-17,Other / Multi-Racial,100,0.98
M,50-64,Other / Multi-Racial,94,0.92
F,18-34,Other Hispanic,92,0.9
F,50-64,Mexican American,83,0.82
F,35-49,Other Hispanic,82,0.81
M,12-17,Other / Multi-Racial,79,0.78
F,50-64,Other Hispanic,75,0.74
M,18-34,Other Hispanic,74,0.73
F,65+,Mexican American,72,0.71
M,50-64,Other Hispanic,65,0.64
F,65+,Other / Multi-Racial,65,0.64
M,65+,Other / Multi-Racial,63,0.62
F,12-17,Other Hispanic,59,0.58
M,35-49,Other Hispanic,58,0.57
M,65+,Mexican American,58,0.57
F,65+,Other Hispanic,57,0.56
M,12-17,Other Hispanic,53,0.52
M,65+,Other Hispanic,37,0.36
