,interview_weight_2yr,weight_kg,standing_height_cm,bmi,bmi_category_child,upper_leg_length_cm,upper_arm_length_cm,arm_circ_cm,waist_circ_cm,grip_exam_status,grip_pain_in_hands_30d,grip_difficulty_grasp_objects,grip_difficulty_reach_above_head,grip_months_since_hand_surgery,grip_90deg_arm_possible,grip_seat_adjusted,grip_preferred_hand,grip_start_testing_hand,grip_hand1_trial1_kg,grip_hand1_trial1_effort,grip_hand2_trial1_kg,grip_hand2_trial1_effort,grip_hand1_trial2_kg,grip_hand1_trial2_effort,grip_hand2_trial2_kg,grip_hand2_trial2_effort,grip_hand1_trial3_kg,grip_hand1_trial3_effort,grip_hand2_trial3_kg,grip_hand2_trial3_effort,grip_dynamometer_size,diet_day1_weight,diet_2day_weight,sub_fasting_weight,sub_h_weight_a,cs_problem_caused_weight_gain,ec_birth_weight_lb,fs_hh_weight_loss_food_12mo,mc_overweight_told_ever,mc_told_control_weight_past_12mo,mc_currently_controlling_weight,osteo_hip_fracture_ever,osteo_mother_hip_fracture,osteo_father_hip_fracture,wh_height_in,wh_weight_current_lb,wh_weight_self_perception,wh_trying_change_weight,wh_weight_year_ago_lb,wh_trying_lose_weight_year,wh_weight_10yr_ago_lb,wh_weight_age_25_lb
interview_weight_2yr,1.0,0.342368836521331,0.3101701429399995,0.2101198970424519,-0.026670304704984417,0.15080145798321412,0.3448792338064757,0.32005853161823494,0.2724046583201217,-0.0697202666509459,-0.007655555581321743,-0.0457331371234193,-0.048113662102106006,-0.013078357027447193,-0.008296074880902104,-0.06524368415663435,0.004782140312899748,-0.007706616731136234,0.24393235804927738,-0.06379528384499149,0.24190030929836764,-0.03835613972678021,0.24237557020261283,-0.04075756386256013,0.243936540240801,-0.03389612146566107,0.24043817915688576,-0.032267888304847336,0.2427856402542445,-0.035910645559535666,0.243844628806278,0.7666964892070338,0.578240826939877,0.8701693227699234,0.951510528448746,-0.17844327388527823,0.01672163132977055,0.06184986622619142,-0.05513334769842008,-0.00656491700299178,-0.017405087552203335,0.022298147625855448,-0.03547831784677256,-0.04621054452250706,-0.04869186195366452,-0.023724075785360375,-0.08010554324213827,-0.0338736783465927,-0.02929603516402156,-0.07030624951841109,-0.06484601635303919,-0.08743206267140889
weight_kg,0.342368836521331,1.0,0.7869889678105331,0.9154154975087619,0.47973581346409166,0.46013411977957513,0.8546405616014551,0.9665619178958078,0.952469424653261,0.0005310025636869333,-0.01967288707280862,-0.13307145793596575,-0.10893897016944215,0.008021661646964015,-0.026602186787853227,0.07434336380996048,0.0061593670255163605,-0.005253290501490169,0.6069028494018028,0.010343490812893387,0.6154835458052162,-0.01068491362692178,0.6160998332158363,-0.01443568895970725,0.6174825282434686,-0.02924084584023642,0.6168590956126109,-0.013372047259749368,0.6195681852069105,-0.043477442798619696,0.6344434358545984,0.26662627379658915,0.18940124063104635,0.14241218067308684,0.4600206464103074,-0.10037142920779042,0.05524010043354684,0.02358767044715651,-0.4974408701749563,-0.41557036478156706,-0.19256311804642495,0.03731982063566051,0.0065896012533483185,0.00929567236171255,-0.038575804971674885,0.05231010756675256,-0.4463771588188989,-0.12414899219869724,0.03101058026976306,-0.2872681323651361,0.01671470598467496,-0.003480920899252351
standing_height_cm,0.3101701429399995,0.7869889678105331,1.0,0.5133977336108174,0.1655855634804831,0.8147823580693625,0.9615389890219134,0.7404451432337679,0.6938614441541255,-0.01998732913822752,0.05846336828908174,-0.07688027047917506,-0.06962008772555206,0.010963110975954125,-0.04832722596144562,-0.07859521115542856,0.02474871827227288,-0.024112284381806435,0.7935827936586727,-0.018607482546409457,0.7942919615964287,-0.04054367120626046,0.7947231929173103,-0.03926836458026488,0.7939108664585889,-0.04391993517936107,0.7939493473461708,-0.04960850475931139,0.7937500108405491,-0.0667001831258336,0.8124696754271367,0.24934306537206052,0.16218106244187772,0.1643251122277982,0.4571363076144453,0.004655614724047511,0.06441639214536887,0.016900566303069117,0.04780551405306053,0.03875248126332192,0.01067155864884543,0.053800790227496564,-0.02173137333813874,-0.010614185691266481,-0.0723766705543567,-0.023158133851567526,0.0712486752705032,-0.03575463214103867,-0.039246372712843494,0.05914669888724353,-0.0567275878889338,-0.05885345693103164
bmi,0.2101198970424519,0.9154154975087619,0.5133977336108174,1.0,0.7132849685894765,0.14476589438132723,0.6073525879673467,0.9181898501632847,0.937174070322872,0.023552368953166924,-0.05608156058059187,-0.14973921417966668,-0.1167576162327965,-0.0013241756770962698,-0.009930894017708808,0.12522803736817525,-0.01009056689252313,0.010550533977738027,0.34649048528885984,0.027519608015621908,0.3561316911560832,0.013253582130154803,0.35740772368067286,0.004794809537881155,0.3599764914279636,-0.009271779724589728,0.35915673385921015,0.009234788074472897,0.36295267631938277,-0.02125576835312715,0.3708594930093306,0.1651773849192024,0.1114484397867592,0.08256892635842103,0.34252470971166193,-0.11815274717794162,-0.005844239117420872,0.02678870304835162,-0.5750858887480965,-0.48018524096456927,-0.21381775598825525,0.020218689046571866,0.025384570955154343,0.019141295971371267,-0.00921651909097062,0.06738935678458335,-0.5282801097831031,-0.12519012070179106,0.05367397586310065,-0.34259911449193675,0.05026448233150574,0.02584544334366809
bmi_category_child,-0.026670304704984417,0.47973581346409166,0.1655855634804831,0.7132849685894765,1.0,0.19799155384956832,0.2297911079593914,0.570791918582261,0.6147241662560138,0.018554640289913948,,0.0030048869249053242,-0.0037744410633299688,-0.008593483200736236,-0.0018612517131240795,,-0.01902058996839632,0.024964106138297644,0.15937362815410447,0.02989397464443077,0.15793643500250792,0.028271115517732103,0.15615273991166592,0.052089038722443214,0.16438566334930393,0.016742613114734246,0.1552255085604055,0.035504846334295175,0.1553579453082163,0.001862848245051517,0.16645925276081247,-0.006562077664314543,-0.003137250581355023,-0.010430030569685958,0.01019777066797949,,-0.020847560588770436,0.023398231102500323,-0.5432483281863748,-0.4571686205949508,-0.27830785707341926,,,,0.06119482151766259,0.10526753017664872,-0.5990132483376502,-0.08086919111345806,0.07317094461690266,-0.5098411163798555,,
upper_leg_length_cm,0.15080145798321412,0.46013411977957513,0.8147823580693625,0.14476589438132723,0.19799155384956832,1.0,0.7374438078887532,0.3640754537601247,0.2352429361333321,-0.06218609555924526,0.07911252013507311,0.03373585366796025,0.022478436318107118,0.03585165102238435,-0.042417345108285806,-0.08488913295748193,0.02028068930581071,-0.015324293621409166,0.6553447746931352,-0.028894415130019786,0.659627559930008,-0.041661121588725834,0.6483987934139306,-0.028724685434830612,0.6562310475090835,-0.03587353215994401,0.6524111500513582,-0.03254969415408849,0.655876320344545,-0.0457927880793445,0.6753762174788417,0.12818247740772964,0.07969942506103204,0.07946747367912488,0.25665369676931865,0.0075888375501301075,-0.00739472140759868,0.014324840774322934,0.0960702984602303,0.10017780566489436,0.020855999357946103,0.033491892109732205,-0.025801556955917977,-0.010478999427909782,-0.06898735314797017,-0.03747284339098887,0.09980257565207158,-0.04735018341490473,-0.03618081925331319,0.042757024820174044,-0.05930917469970479,-0.06420776937034177
upper_arm_length_cm,0.3448792338064757,0.8546405616014551,0.9615389890219134,0.6073525879673467,0.2297911079593914,0.7374438078887532,1.0,0.8326463259188593,0.7591493965839302,-0.008897534384573892,0.029644346461666717,-0.1064470150440232,-0.08375051840801019,0.008053776829939423,-0.039798005353086335,0.023344432727798823,0.020355480325233776,-0.02090668431393352,0.735467626636416,-0.011639986954922393,0.740175133353086,-0.03812536005195513,0.7384676775258491,-0.02489288456946055,0.7405730820036283,-0.035204992090022834,0.739242788727706,-0.03717734555661573,0.7423232538984323,-0.06034749846839063,0.7574489389202882,0.2723789790563474,0.18688352468085342,0.13944720024513113,0.4630175446228359,-0.016862816024243023,0.08040774493932142,0.015061781549705137,-0.11669479825920863,-0.10003756000449929,-0.061615696800798675,0.030618893906120475,-0.0019099097796502402,0.0060245273533640585,-0.039378702093388084,0.011077777323447795,-0.07421834386549836,-0.03255128742156518,-0.010420852634079101,-0.019919335360563815,-0.01914004102683881,-0.025861495031838592
arm_circ_cm,0.32005853161823494,0.9665619178958078,0.7404451432337679,0.9181898501632847,0.570791918582261,0.3640754537601247,0.8326463259188593,1.0,0.9284521701558278,0.008653953265033307,-0.03035836360222919,-0.13709216177504135,-0.10591952704178206,0.00470808768478585,-0.02639384198289604,0.05800382701391248,-0.003307761716841817,0.0031008740530085338,0.5726165807295042,0.01804025950856667,0.581573044441109,-0.005143547232666145,0.5841546944654846,-0.009702895457676579,0.5882332811945364,-0.02693593384541413,0.5872076589636784,-0.00950966764153664,0.5917843057642672,-0.0388380696392462,0.6037232474920919,0.25252736362515293,0.17464891446731318,0.11598544050694123,0.44536553638174997,-0.09505790031132269,0.04243997146913857,0.031835202424757514,-0.49857518422671554,-0.414087981038123,-0.2123136010828165,0.055078065394721744,0.012105191667418969,-0.0028773071254577978,-0.02179912527807321,0.05804022472292129,-0.4636907974246866,-0.11518202236028667,0.03646230160238346,-0.3040106019325467,0.03274948545913227,0.016610596812570034
waist_circ_cm,0.2724046583201217,0.952469424653261,0.6938614441541255,0.937174070322872,0.6147241662560138,0.2352429361333321,0.7591493965839302,0.9284521701558278,1.0,0.03419379891887465,-0.05467826942357466,-0.16823401343031896,-0.13361222816884874,0.005102861313159145,-0.01089584511457669,0.14414707288146533,0.003941968743215971,-0.0033466438803249517,0.447798868870921,0.028910932570131748,0.45357961518678763,0.0017542274583176479,0.4589341182497885,-0.005495585693373886,0.45745031661620167,-0.01599867823927449,0.4573575312036062,-0.00039270248717681114,0.459250312151855,-0.03085221171131061,0.46969835907980323,0.21724436458240823,0.14604252762268163,0.11417748026273944,0.4193443370276926,-0.09552556856121162,0.015238864261110503,0.03286647306231254,-0.5421910532696386,-0.45731117626900364,-0.2038602707513877,0.0195217345684441,0.024329188095951353,0.02381073772996366,-0.004096715577042654,0.07152591091955979,-0.5131894377324825,-0.0914306496748946,0.053188543728152245,-0.2882642129955656,0.04324484091655252,0.038977834297962054
grip_exam_status,-0.0697202666509459,0.0005310025636869333,-0.01998732913822752,0.023552368953166924,0.018554640289913948,-0.06218609555924526,-0.008897534384573892,0.008653953265033307,0.03419379891887465,1.0,-0.06778696870821153,-0.026123966384162287,-0.007928493135060931,0.015349263250004427,0.051432276852780026,0.06667409690191374,0.004087328368515669,-0.002118672038985802,-0.008384469979331724,-0.0014181530416022775,-0.020536741548525916,0.025639337202539303,-0.01134050803672126,0.005668790916217333,-0.018530302390302553,-0.002919818725164331,-0.01849970532255468,-0.0062045871942086545,-0.01961332382869167,-0.003040297939301596,,-0.12721348490824105,-0.03622147993377698,-0.13486744876785534,-0.06036766057909573,0.07817891123044265,-0.028322937182125276,-0.05081683949169605,0.012633857895777532,0.0013703444820782006,-0.001287982360417759,0.0014739850692972937,0.05282817819240568,0.047607256888025896,0.05229672054880865,0.014142366771742782,0.014622042601845978,0.01717822281908963,0.03551068191718469,0.045109603825785966,0.01310854810839825,0.07531244534579892
