,cs_salt_tongue_tip_grade,cs_salt_tongue_tip_taste,infant_breast_fed,salt_type_at_table,salt_freq_added_at_table,salt_freq_added_when_cooking,d1_salt_added_at_table_yest,d1_protein_g,d1_cholesterol_mg,d1_total_folate_mcg,d1_food_folate_mcg,d1_folate_dfe_mcg,d1_calcium_mg,d1_phosphorus_mg,d1_magnesium_mg,d1_iron_mg,d1_sodium_mg,d1_potassium_mg,urine_albumin_mgl,urine_creatinine_umoll,apolipoprotein_b_gl,albumin_gdl,alkaline_phosphatase_iul,ast_ul,alt_ul,bun_mgdl,bicarbonate_mmoll,calcium_total_mgdl,cholesterol_serum_mgdl,creatine_kinase_iul,chloride_mmoll,creatinine_mgdl,globulin_gdl,glucose_serum_mgdl,iron_ugdl,potassium_mmoll,sodium_mmoll,phosphorus_mgdl,total_bilirubin_mgdl,total_protein_gdl,triglycerides_serum_mgdl,uric_acid_mgdl,wbc_1000ul,lymphocyte_pct,monocyte_pct,neutrophil_pct,eosinophil_pct,basophil_pct,lymphocyte_1000ul,monocyte_1000ul,neutrophil_1000ul,eosinophil_1000ul,basophil_1000ul,rbc_milionul,hemoglobin_gdl,hematocrit_pct,mcv_fl,mch_pg,mchc_gdl,rdw_pct,platelets_1000ul,mpv_fl,fasting_hours_a,fasting_minutes_a,water_fluoride_mgl,hdl_cholesterol_mgdl,hba1c_pct,insulin_pmoll,triglycerides_mgdl,ldl_cholesterol_mgdl,cholesterol_total_mgdl,vit_b12_serum_pgml,alc_days_drink_past_year_num,alc_days_drink_past_year_unit,alc_days_5plus_past_year_num,cb_money_spent_food_fast_food,head_cold_past_30d,stomach_illness_past_30d,flu_pneumonia_ear_past_30d,blood_donation_past_12mo,cs_smell_problem_past_12mo,cs_hit_head_past_12mo,diab_blood_test_past_3yr,diab_taking_insulin,db_meals_not_home_past_7d,db_fast_food_past_7d,db_ready_to_eat_past_30d,db_frozen_meals_past_30d,fs_hh_food_not_last_12mo,ins_uncovered_past_12mo,care_hospital_overnight_past_year,mc_anemia_treatment_past_3mo,mc_told_increase_activity_past_12mo,mc_told_reduce_sodium_past_12mo,mc_told_reduce_fat_past_12mo,mc_currently_reducing_sodium,occ_work_past_week_status,occ_hours_worked_last_week,oh_last_dental_visit,oh_reason_last_dental_visit,oh_mouth_pain_past_year,pest_used_in_home_past_7d,pest_used_home_past_year,rx_used_alt_med_past_30d,smoke_cigar_past_5d,smoke_any_tobacco_past_5d
cs_salt_tongue_tip_grade,1.0,-0.03633040799467726,,-0.00013165001410352803,0.03516419436894702,-0.008835938076161242,-0.0001009604249827671,-0.06453094684198747,-0.017889810398772008,-0.08908279129351637,-0.0763368675638189,-0.08341716894885239,-0.05401253486071759,-0.06853305707845109,-0.0645376623181002,-0.06680722982305679,-0.05010373650073847,-0.07076661777470124,0.004418928404135649,-0.008294039864640891,-0.010827562224629848,-0.06223111423777088,0.030603286257741138,-0.02442901407409106,-0.03435541706960698,-0.04052992708026563,0.010474857724826364,0.008839914311388199,0.002146966803169657,-0.029648408297583594,-0.006963110310059248,-0.016086395597988787,0.039337728955380104,0.009358153918319428,-0.06589509274825936,-0.0003905044401353361,-0.015312559387623192,0.013443555399434103,-0.05229446181752683,-0.002573655414326309,-0.02728780100169571,-0.07512442211937424,0.0321507078526822,0.03475517076763869,-0.04126253403385019,-0.01878942196740044,-0.013782143026984318,0.028138102499295544,0.044852941254964876,-0.012678261776521042,0.016994962223191277,0.009205137727781025,0.03548439364515705,-0.05759693536242468,-0.08765654983841852,-0.08585719185083261,-0.0347572180584726,-0.03703918942189854,-0.026632012728358002,0.044793815302000425,0.023849658361720042,0.000997041578950816,0.026326588145482676,0.0017971987693791763,,0.02281290280561254,0.03261655681997957,0.007215876658223768,-0.036653884199670084,0.018177581407149226,0.01115151939915525,-0.00790487633800414,0.006682963241093502,0.019321267324486163,-0.016073799338595113,0.004786937373371617,-0.02785744352956281,-0.02903620384464288,0.024860385749692078,0.01903279613657213,0.007672783539961721,0.004755039385688247,0.042454112890813044,-0.00633941693721934,0.007582188047384412,0.04414998305236362,0.016060621875280106,0.005614745864481427,-0.045688946886009725,-0.010676635833507368,-0.012899397650016383,-0.02837859209008526,-0.021342316573015326,-0.04881251451867434,-0.005942377653163859,-0.051278728412061034,0.027799782682210734,-0.02907481403076275,0.04604349578977667,0.013085780153704398,-0.014330098634424655,-0.028669368491191595,-0.016950755510560345,0.0224712265439611,-0.028929747578163134,-0.024136810400262398
cs_salt_tongue_tip_taste,-0.03633040799467726,1.0,,-0.014770677482830638,-0.006583943334458297,-0.02561408006389212,-0.00132824890966171,-0.0022637757696629917,-0.0055406065633247245,-0.022599299504353104,-0.015412841408728869,-0.022314141434136153,-0.021064339740458335,-0.009127695736947454,-0.006043149181050055,-0.008539407132846795,0.0039740548608368,-0.017124777102981863,-0.009551177013520602,-0.012674609595149612,-0.03559028486737254,-0.008487828597973427,-0.010114758819595024,-0.010609533144023015,-0.0029017072154622144,0.03310656374380527,0.004942748756422786,-0.018656143783149413,-0.024464400859163595,-0.008864546022833805,-0.0209548468903878,0.053084981043169464,-0.011105353462290217,0.04326548007658977,-0.01359813669316606,-0.012400128863653097,-0.02966437807332192,-0.01984906811971469,-0.003949090455757897,-0.01622118708331327,-0.009113984346098596,-0.04327144744631549,-0.02916828500064728,0.007034539046185588,0.0004849560527750179,-0.016206106268536715,0.03562200748011346,0.023311568436585,-0.016724094288463352,-0.020194533356910013,-0.028612987993423763,0.015971769479739068,-0.0047891112015826685,-0.02304561993289706,-0.01816008355357678,-0.019697639045943606,0.007697015529259218,0.00856666998401204,0.0037874610286114867,-0.006423777480700185,-0.016922975733345013,-0.01450867704408091,-0.0011751312528603692,0.02977421063091952,,-0.0076262487345498745,0.013203203239873876,0.036940813276460205,-0.029760558371064845,-0.016179646056823198,-0.023525370403365727,0.03365550821692911,-0.00515760586388049,-0.0023826724297951853,-0.008942335196363754,0.04115579681685378,-0.019156143441458745,0.0018825385929045447,-0.0034113978754565888,0.0031019615904082937,0.011981690366093919,-0.005636374695796507,0.007373989977176917,-0.02839752554419849,-0.005224282935447718,-0.0028474782498178887,-0.004473229983590204,-0.009358939598315399,-0.016118616164308975,-0.013791952193689684,-0.019220190074901597,-0.011749374379128636,-0.00954271069951243,-0.008647756681450848,-0.030804595419332944,-0.0023857537290110703,0.032750504038902936,-0.005401914048000645,-0.0015688609377676863,0.05620440773888785,-0.002986638211319174,-0.0036776398923991658,-0.01484082867299181,-0.017188097985270896,0.0008540514331407819,0.006342692323259322
infant_breast_fed,,,1.0,-0.00913369338503802,0.013272019486022968,0.018979821507337426,-0.029042177442647255,0.02620085979184548,0.019391707821417026,0.021643061116094518,0.021279446443833967,0.01936736402377966,0.004281069109392064,0.027006801923887245,0.025139548524566523,0.011239594969366879,0.028691547050770753,0.02442204218337763,,,,,,,,,,,,,,,,,,,,,,,,,-0.019564499860286275,-0.0665781287984261,-0.001680496139510006,0.067404869217017,-0.024797734293617903,0.0014246009388276,-0.06970545206347477,-0.022964859798289508,0.024989439829464565,-0.031450178018252284,-0.00745325708753979,0.004811396736894006,0.03667075681331442,0.03984772507537347,0.050133296437647544,0.04089959658469541,-0.005456698328132791,-0.0018611720553259085,-0.0666984961611039,0.04694088434192568,0.021404935336195193,-0.010033444805094598,0.01913961848001349,,,,,,,,,,,0.010451077827220242,0.03641840891763644,-0.048969506725567685,-0.04639514032943811,,,,,-0.005897503327857732,0.0023084761529799385,0.0013541038046496522,0.0012598654237389844,0.0013502304026694872,-0.02685466179656366,-0.014328224492668885,0.027007022897172734,0.004501773312999787,,,,,,,-0.03919856769099901,0.012148376947711542,,,,,,
salt_type_at_table,-0.00013165001410352803,-0.014770677482830638,-0.00913369338503802,1.0,0.02076382326162735,0.2506973870685951,0.4963466653856679,-0.0389739524646115,-0.029719714713240353,-0.018853999028090998,-0.0299104071146628,-0.013937464025818972,-0.012573798746822962,-0.03520320289432984,-0.02845530871197495,-0.015393572759841625,-0.043761854864164534,-0.0347863227694513,0.010721005286487267,0.0002083307122793094,-0.019864220255368492,0.0003902141170963282,0.05068994039072549,-0.0038411174180136274,-0.013626357549596757,0.008995973320570049,0.008393811292177136,-0.0033906233670523145,-0.025206095489221522,-0.019001734923962555,-0.010546501712485157,-0.013536979044441464,0.039754817259442035,0.011646608016662148,-0.007713267831755635,0.006571925629397107,0.0006374197237902458,0.04745435868075632,0.008265600964741101,0.037640721155327836,-0.010432384088565023,-0.02431388528963171,-0.018524281999452403,0.0040722041124549675,-0.007125001516190971,-0.0034462625964341667,0.004124305905806303,0.00585733144523059,-0.00922877704585903,-0.020400702842446543,-0.015821750758082648,0.00029781069502954414,-0.01918412056400497,-0.01426099899202415,-0.029176530933437604,-0.03037658125778104,-0.020235097534704812,-0.018366383956303068,-0.003395982109769188,0.013560934612157563,-0.012904905506022683,0.014248280926269011,-0.006283770409620396,-0.014995199377877287,0.007316314726906038,0.007741993788871693,0.00643969049792572,-0.011155929943304112,-0.015146988067668173,-0.02571251416891461,-0.021674945737768972,0.007050994891985849,-0.010967658389891173,0.0018602189580298703,-0.007059223885987932,0.015173236151338112,0.06334836426690171,0.07762518479693527,0.1045233678567176,0.011831802825823821,-0.014895932350894878,0.029734401345794786,0.01328431975147861,-0.002211560826722845,0.01980950092958877,-0.002141086872262,-0.0023529999862839167,-0.0030356032117433963,-0.034489704759265445,0.009682934245622785,-0.030054815890998617,-0.0020208763890492156,-0.014748917498628486,-0.032099391392817755,-0.014628416336752142,-0.03793477853620951,0.04649578660755255,-0.004861195813350544,0.03282672135732079,0.05209022557118502,-0.010686115407277938,-0.004709204074439142,0.029632191812998723,-0.02485044758132716,0.007335226493248567,-0.002662589905935681
salt_freq_added_at_table,0.03516419436894702,-0.006583943334458297,0.013272019486022968,0.02076382326162735,1.0,0.1724249127537454,-0.22441037108984155,0.04520049265281675,0.05557185282766612,0.03850276519354962,0.053683245347615864,0.03036872611516475,0.0068237148860568215,0.048226760009233684,0.05247220363804171,0.031917382870517715,0.057207262267485556,0.05846595621142701,0.025365997931968576,-0.005545467682031668,0.08613962068572864,-0.03763833376717171,-0.00990026805558871,0.005493166682010523,-0.0011127748114252436,0.042264355788867405,-0.0002190527748099036,-0.010767559770544673,0.054644108655143804,-0.026068880094074355,0.004842230189221563,0.03508557850544057,0.00692212054099271,0.060523986001959566,-0.005824265628202786,0.049167603435124434,0.0017543261613146262,-0.016462453074737166,-0.0023639732736413467,-0.020268255337676407,0.06129882779199896,0.03371402430929462,0.013075508168689251,-0.09163220428136142,0.011352150518875446,0.0849283667298761,-0.01632051667644778,0.016770099284693377,-0.07178707434422259,0.015666194506268594,0.04961097231832727,-0.012018276014519123,0.02582202297392721,0.003954880344705844,0.06430120467320746,0.06918170268956061,0.09114348041288461,0.07766234258847057,-0.00015581828705499168,0.013556464702244145,-0.05997242272589032,0.04277509257897237,-0.0073851502614100065,-0.00019873895330267506,-0.039713223887919355,-0.03443755704190485,0.05843352279128142,0.02403848064553031,0.07405808144375049,0.07134260365756251,0.07087323028088117,-0.021897843362888064,0.018728283320923092,-0.01890534988440175,-0.008696640466858556,-0.011299039610666386,0.00820170450317797,0.012239581501848803,-0.007632915864694825,0.018043797490000138,-0.04787135790653603,-0.0013798880408774665,-0.013433927161257358,-0.02981862352390169,-0.003069046220744106,0.08033131383159911,0.0034349039712493995,-0.008301703850483885,-0.04953020740404777,-0.006662787914028656,-0.02921172674867242,-0.019140516265376113,-0.020942213214564524,-0.017308494984566884,-0.026253987516092925,0.05190937371770851,0.016363268917077452,0.029888794352388105,0.025442326303041007,0.08148765270500116,-0.03544756756376296,-0.03659064572948155,0.00837558995332804,0.0007991663928780245,-0.05609470460030178,-0.05467178545871278
salt_freq_added_when_cooking,-0.008835938076161242,-0.02561408006389212,0.018979821507337426,0.2506973870685951,0.1724249127537454,1.0,0.23954574406804105,0.027600076633806973,0.03217998017427635,0.02148454122593318,0.03396652296248174,0.015863327929074234,-0.007700923463520899,0.01637258416253374,0.021777596519988146,0.010408985446062407,0.04300762701344709,0.02755295029640825,-0.0227007364114082,-0.0020142417087473303,-0.013860255255939832,0.0022269510900838232,0.00436657538311557,0.0002052609234884217,-0.004772051291092206,-0.03181852707435916,0.015656760009682635,-0.00652602407813002,0.009492647466871599,-0.00490505198802891,-0.000776595204373521,-0.040187006299783,0.06928909662727097,-0.010423296792055434,0.007251015593304739,-0.004015787793373104,-0.007732592007110777,0.010850953835969165,0.010254882843099352,0.06689770015100538,-0.021818927673118733,-0.016894727897217552,-0.008764006293885697,-0.007842803829128893,-0.02855092769227651,0.01651791150612886,-0.017344539098184734,0.007367906048242897,-0.024656059633119412,-0.03294210614949555,0.009353274633119812,-0.017381303408169516,-0.0076123398392276016,0.0043939816425979045,-0.0062664957670051265,0.0006041043299697797,-0.005591124522454832,-0.013904451757050492,-0.02687750989464672,0.005178647350753001,0.0020753247765535527,0.007802185601578319,0.01538386897925947,0.007490076240840728,0.011877882561902064,0.021296768524677843,-0.021663884953508666,-0.010201545972018737,-0.03782071397068114,0.0032421931026536547,0.00810656122253958,-0.0258347248670268,-0.009734056654682216,-0.029956077155928976,0.0005087879370214325,0.010674694378236715,0.045662892181013465,0.03810661905383291,0.07584915584141085,-0.012238305261099541,-0.003401749871746055,-0.03626619864709557,-0.008388848748900562,0.026511282557772884,0.005265304966946055,-0.013342500552856037,0.003654595755873672,0.018655885965319134,-0.0015469104968469103,-0.00974422095193169,0.0168531439084958,0.0013756467558664548,0.0037950010889099706,0.008697851931634165,0.008768283494070536,0.06600147399564169,-0.013359230175349965,0.006082941542209174,0.018605163071722948,0.009582519341926889,-0.0231163225716974,-0.02829749758998959,0.007283610810541511,0.04896710233456672,-0.00209670117802521,-0.00017427136137044874
d1_salt_added_at_table_yest,-0.0001009604249827671,-0.00132824890966171,-0.029042177442647255,0.4963466653856679,-0.22441037108984155,0.23954574406804105,1.0,-0.06900779833707907,-0.10803719128026533,-0.050353130295144835,-0.0924056044200127,-0.03367318862277049,-0.01783314608406993,-0.06773796292254664,-0.0774168531206049,-0.039751434284712533,-0.07733050206157747,-0.08642029556040423,0.01578216848256198,0.006198996273490427,-0.035331007889094795,-0.006747451099035011,0.013782313122586338,-0.016923210155516104,-0.02988298361159769,0.0030348494396079213,0.03068797235130231,-0.004408217141516653,-0.02407597822233895,0.00011654478974291512,-0.014906470432487438,0.00020301215629099214,0.03408113136722837,-0.024099482658178465,-0.007931296128516677,-0.0017479846209764096,0.009332783085295414,0.010107929363539379,0.007022210278647451,0.02658717590296232,-0.027001296556352503,0.007244551815867286,-0.018249159245184905,0.02816432760994773,-0.008547573409077334,-0.029196047004305545,0.01876505298417825,0.028011061036023632,0.008852141824445676,-0.02214605680523768,-0.02878087744549527,0.014106534287072146,0.0051613311644064085,-0.012978524888039997,-0.048919306732919915,-0.044797682849902556,-0.042166577248957546,-0.04509807854805588,-0.025239348492933123,0.012018194076405926,0.014798529563214714,-0.006955927278792102,-0.004491347732872594,-0.015670223837820484,0.01416760065200609,0.019973841325348386,-0.01271226882228173,-0.018692236098081273,-0.045152738564353534,-0.026644440029237094,-0.02852393787947035,0.009378426817770052,-0.004386274794181875,0.021758710286093195,-0.013249553892768638,-0.003886557579249854,0.10100893563062689,0.11580979590449604,0.14065547079559473,-0.005341591606547941,0.01973313271516615,-0.011446754921746762,0.011612525708348276,0.020604971388716836,0.031127849602709846,0.0041422505720172045,-0.004276079875729279,-0.0021734495124241925,0.0021732452822773272,0.018416972475695886,-0.011873428527757766,0.0016441814606347129,-0.02676611323788672,-0.02928533139127121,-0.016537972769453173,-0.05439064402419912,0.030642251637405565,0.012825174276964073,0.01829775938729475,0.003937130955178047,0.0003314303375137004,-0.014282603938638656,0.018344194119502364,-0.0142323263702808,0.020192698721325713,0.015108915143361316
d1_protein_g,-0.06453094684198747,-0.0022637757696629917,0.02620085979184548,-0.0389739524646115,0.04520049265281675,0.027600076633806973,-0.06900779833707907,1.0,0.7062741896897137,0.5142762371520003,0.5724931749776252,0.4452291528395839,0.5404636999272504,0.8885465732219844,0.731741969774637,0.5172643325232771,0.8026961304995385,0.7689443155533877,-0.008339111237605197,0.01802327711181187,0.03840846804840513,0.10385966668096827,-0.039027300399751975,0.03788021551852418,0.07748775149783857,0.10026837576404646,0.018666714267983674,0.010054623510837494,-0.006203394013067414,0.16658409915205094,-0.023917148527219493,0.03239817318781435,-0.04255943491348849,-0.00448101011363672,0.05678653328223449,0.039002517184246493,-0.022815176247088433,-0.018663347562650454,0.05244438221017073,0.036157266838432074,0.026915893911139036,0.08897202646673119,-0.02593926326666867,-0.13389011104218632,0.02125264657392137,0.12178344939444663,-0.008465078157063025,-0.003919473197370248,-0.1191567625461963,-0.0028475832048831555,0.043313730701149813,-0.017526965127196054,-0.024754637071621018,0.17731789901601563,0.245141606680641,0.25111913207132264,0.10199337423771822,0.09950856876831765,0.033521787055699324,-0.03419677628668031,-0.12528243871361705,0.0673304181081682,0.029303223365709077,-0.0026408952780694363,0.010211410176242726,-0.05476660115498532,-0.01385663199486028,0.021436929959234272,0.03909234216399794,0.020335561719548947,0.013225438091076517,-0.028802918826280527,0.0378819900773244,-0.05623735447863231,0.021443554470159554,0.002280353125127888,0.021151811817817997,0.02239401246211454,0.004666643535849621,-0.027223932171482765,-0.002802577583445663,0.006752889195964567,0.026954463926406887,-0.015460371710776102,0.0020570753478108953,-0.0030384957872287817,-0.00341703502506393,-0.005619218760480324,0.04346486066807834,-0.020088085277016436,0.023867737775392778,0.006022409372709553,0.045600687115583294,0.035075643616950605,0.03881865516399762,0.04996777790058914,-0.1443522913250043,-0.011556926239617064,-0.014818989228534807,0.016053809328478264,0.009203007053366257,-0.009489312728983469,-0.0016385465530108128,0.031523330469515186,-0.03789260828316507,-0.04586912215705031
d1_cholesterol_mg,-0.017889810398772008,-0.0055406065633247245,0.019391707821417026,-0.029719714713240353,0.05557185282766612,0.03217998017427635,-0.10803719128026533,0.7062741896897137,1.0,0.2598463466864874,0.3607678252705713,0.2052975213188353,0.3167907355298314,0.6014358833249581,0.3970937641355995,0.29586086208222584,0.5900446563326427,0.48238029880023015,-0.008981589188662294,0.030158382181214204,0.06765091580601848,0.024981493009124413,-0.0471727319201669,0.029932953170816467,0.04965287415478347,0.08615342064875992,-0.012934040617335224,-0.011963026482795045,0.011620862825520903,0.11100273408569127,-0.013043417258025743,0.03780907887744454,0.014941309731057503,0.029186164355576784,0.019815165413994314,0.024081029530226176,-0.031748901854236476,-0.01706494143850479,0.0036204487650617814,0.03189895184684806,0.036092573018968954,0.06883283758829306,-0.008182551483718752,-0.09898355001946027,0.01325110122888369,0.09125809641198286,-0.009883760874525202,0.0013458991812396496,-0.08248758846688597,0.009836175805301125,0.04165577340751519,-0.016097280131514704,-0.010336144692549232,0.11339061975911251,0.15763594040305853,0.16412924874983859,0.0704475323772849,0.0651614772710235,0.012453206361356564,0.017213393708319938,-0.09736746750984655,0.06802539909650084,0.01945563486347732,0.003887386704388322,-0.018473397249738066,-0.0598126453793479,0.03458656019106511,0.046310880285168325,0.03945536293429516,0.050135333870697844,0.03580605541872974,-0.045477860882340154,0.058141327065700396,-0.03094581237462454,0.02227309684709893,0.010678493698395455,0.005604505733437728,0.011789904109525325,-0.00169232302467902,-0.02245752559972768,-0.0015493882870736696,0.01765390661007444,0.009754913338485525,-0.02792270242476581,0.013509031803211618,-0.0039685389096216035,0.012546024822044265,0.0008092927240589709,0.014865290758266278,-0.030553710104504424,0.0142284587047139,0.0007244303294903668,0.010990224616695394,-3.828837572917723e-05,0.014676017044541408,0.04108086417747867,-0.07876149732848563,-0.01190605793327176,0.0036103838639504216,0.04767674408798737,-0.0007064957276530531,-0.0071937056574324,-0.003145844726909406,-0.007131779939598096,-0.053255858538202125,-0.046612493069186425
d1_total_folate_mcg,-0.08908279129351637,-0.022599299504353104,0.021643061116094518,-0.018853999028090998,0.03850276519354962,0.02148454122593318,-0.050353130295144835,0.5142762371520003,0.2598463466864874,1.0,0.6945710667186312,0.9803345656835644,0.5175400245180466,0.6102812313523028,0.6389925432439304,0.7695622512944166,0.5294132711976148,0.5837630109740957,-0.013456753490919026,-0.03277021919293208,-0.021401715959829155,0.08095805279239972,-0.0045386678588281255,0.0396391437814202,0.05434900630281761,0.013217514893060042,0.05426108362453171,0.02326717021456118,-0.04131030681187266,0.06341008833519936,-0.02392910860159997,-0.005158736722196673,-0.06855424730441168,-0.02107417533842446,0.049429922170675905,0.05120825255314977,-0.0024638618686474876,0.023539575778804313,0.03786298912045369,-0.00449789313744619,0.011077976822881927,0.002436868321821408,-0.02007712733255141,-0.07793747619347437,0.02395464569360176,0.0651778005749594,0.01232424616357532,-0.014187124907187841,-0.054008714637613815,-0.00696996053646225,0.008971029661974968,-0.00247742708088776,-0.026633082392372234,0.09365237928616622,0.1391988932031973,0.14115567051291622,0.06482932272789833,0.06326375229169189,0.021455478131993454,-0.049254403698424806,-0.08781231257445894,0.040534645792052654,-0.005869190665321182,-0.0016794331548525482,-0.014305872260444562,-0.02803848373648839,-0.033720367140064975,0.006806062536218435,0.004813377836022723,-0.03342829365610523,-0.041055999188369094,0.0039014267135283535,0.027377959687162206,-0.05441914842255296,0.005236397053838525,-0.0017090892852253577,0.02034449108311654,0.0086216586827271,0.011144510920174619,-0.012163131996589725,-0.012344491294957582,0.015304178637171479,0.0209072614618353,0.007123849709798386,-0.001015123505148319,-0.004284171248661288,-0.0013751037713276779,-0.004521981268741785,0.02846399388954649,0.004408239861440674,0.015449330866461268,0.0010210555017221925,0.046400813554410496,0.029353975554494934,0.04113870648116784,0.05815404798731419,-0.057162960288028856,0.006159217867653333,-0.03209885797837239,-0.012402845836051135,-0.004023460828928115,-0.0037497631551943523,-0.008626949441804832,0.004937401163956373,0.012109888556208027,0.014163667593545799
