,bp_arm_selected,bp_cuff_size,bp_pulse_60s,bp_pulse_regularity,bp_pulse_type,bp_max_inflation_level,bp_systolic_1,bp_diastolic_1,bp_enhancement_1,bp_systolic_2,bp_diastolic_2,bp_enhancement_2,bp_systolic_3,bp_diastolic_3,bp_enhancement_3,bp_ever_high_bp,bp_checked_cholesterol_ever,bp_time_since_chol_check_months,bp_told_high_chol,bp_chol_ever_high,bp_chol_told_high_time,bp_told_to_take_chol_meds
bp_arm_selected,1.0,0.005169739964543777,-0.004506316134547911,-3.442168407566948e-05,-0.0046034310285261604,0.02030894131799445,0.01288781274415058,0.014822965514676486,0.007413862498651538,0.012872628190952784,0.015531519232087405,0.004394732024036883,0.014162412667383046,0.011783074525313665,0.007478691816231347,-0.030024876794899808,-0.035649981323467854,-0.026256443191788194,-0.014837883375340574,-0.0179817727847187,-0.017775489752710663,-0.016250386813034666
bp_cuff_size,0.005169739964543777,1.0,-0.1033328343578654,0.011363383940700291,0.004376294256253447,0.23039797057637323,0.29329229203786444,0.2934706948853884,-0.012236385864665156,0.319813212247713,0.2769658344037829,-0.013618745036511667,0.31574333273729505,0.28752076994123754,-0.03488075124199155,-0.16462787014494829,-0.09924441976995779,-0.0992913377582401,-0.06115769792252304,-0.05663337425770614,-0.035215771358272134,-0.06860370380178617
bp_pulse_60s,-0.004506316134547911,-0.1033328343578654,1.0,-0.04986116404158691,-0.0012558679065283217,-0.07644858774134644,-0.13321613631782034,-0.05553988147581339,-0.007234970726672319,-0.12658089121084093,-0.03675036241270352,-0.034695761472429365,-0.12027797084340056,-0.037744511687213045,-0.03260895978695063,0.025882013364361765,0.031780110086576836,0.0339122474046984,0.05263404788997392,0.03735851851409359,0.056917957146677335,0.05482961458585394
bp_pulse_regularity,-3.442168407566948e-05,0.011363383940700291,-0.04986116404158691,1.0,0.022872943034217393,0.07040773626855555,0.06575308379774354,0.020654597640544656,-0.03557781150095123,0.0682483423707094,0.017495146719029003,-0.03131034759457989,0.07174919212273906,0.010369346611027848,-0.030315659443699076,-0.04457037973111257,-0.03667462001078906,-0.026123166545498767,-0.027598657189234013,-0.03007683889272015,-0.019885821581555507,-0.035597320973768845
bp_pulse_type,-0.0046034310285261604,0.004376294256253447,-0.0012558679065283217,0.022872943034217393,1.0,-0.01227289777443843,-0.02244425005563644,-0.02444659393445369,-0.011949860805216256,-0.031842637396554734,-0.007856586295514743,-0.01419814572750107,-0.024519706518814553,-0.011607877644401663,0.0022300779468658514,-0.006752048297191007,0.0015755008697523494,0.0032085494169105753,-0.002635131263333006,-0.017041121675852332,-0.018365751597121324,-0.010068247677445989
bp_max_inflation_level,0.02030894131799445,0.23039797057637323,-0.07644858774134644,0.07040773626855555,-0.01227289777443843,1.0,0.9016682648378779,0.43288046516941786,-0.049735841763343835,0.889000369005499,0.39234549689262443,-0.026791282613183854,0.8820683332884458,0.37056128708973357,-0.03363217561651998,-0.19647216439352283,-0.13072028463994126,-0.15487957220411933,-0.04447232837528028,-0.03889662363369899,-0.0315907771866746,-0.06656550836157812
bp_systolic_1,0.01288781274415058,0.29329229203786444,-0.13321613631782034,0.06575308379774354,-0.02244425005563644,0.9016682648378779,1.0,0.4324481038599282,-0.006236499792916344,0.9557776103431019,0.3863024390096141,0.024861874198990337,0.947584133243861,0.362371343316479,0.007876809860985356,-0.35210621389847707,-0.24738070605109266,-0.24109740107700225,-0.07155345045443014,-0.04146725719007188,-0.08314202607781938,-0.17513962422306723
bp_diastolic_1,0.014822965514676486,0.2934706948853884,-0.05553988147581339,0.020654597640544656,-0.02444659393445369,0.43288046516941786,0.4324481038599282,1.0,-0.009091479652033047,0.44667760752834684,0.8428281047757414,-0.04056321423006534,0.44682978896293135,0.8232990975396834,-0.04750988211247232,-0.10049077270577013,-0.04222224533941233,-0.0523120733863994,-0.006556123324296693,-0.03172290680461682,0.016955667961492567,0.023562148061462132
bp_enhancement_1,0.007413862498651538,-0.012236385864665156,-0.007234970726672319,-0.03557781150095123,-0.011949860805216256,-0.049735841763343835,-0.006236499792916344,-0.009091479652033047,1.0,-0.006215424636702044,-0.0021122790508992196,0.47722149472484643,-0.0036703088653386516,-0.0010215786682758142,0.5243383835482742,-0.008489285851752026,0.015119599379412443,0.017680169849611578,0.006036191209201846,0.03245222601556116,-0.003149046107850483,0.004446391440417742
bp_systolic_2,0.012872628190952784,0.319813212247713,-0.12658089121084093,0.0682483423707094,-0.031842637396554734,0.889000369005499,0.9557776103431019,0.44667760752834684,-0.006215424636702044,1.0,0.4030713508568652,0.0197131923858488,0.9579724165523429,0.37921449715751077,0.0006343551527101342,-0.35540338286074913,-0.24636901119574192,-0.23791428323941693,-0.0756537066770768,-0.04036123485679191,-0.0713809592319367,-0.1622740383275048
bp_diastolic_2,0.015531519232087405,0.2769658344037829,-0.03675036241270352,0.017495146719029003,-0.007856586295514743,0.39234549689262443,0.3863024390096141,0.8428281047757414,-0.0021122790508992196,0.4030713508568652,1.0,-0.060156855335078016,0.4032376190444659,0.8717999569299003,-0.06219267282540153,-0.09464601035160597,-0.030946224713984782,-0.05916570096370906,-0.021371972518153266,-0.030692755945376262,0.008452854828482514,0.022749250157932128
bp_enhancement_2,0.004394732024036883,-0.013618745036511667,-0.034695761472429365,-0.03131034759457989,-0.01419814572750107,-0.026791282613183854,0.024861874198990337,-0.04056321423006534,0.47722149472484643,0.0197131923858488,-0.060156855335078016,1.0,0.011937175093829896,-0.05563756890436574,0.5099594674097998,0.012788020080136546,0.007805979121707448,0.020845336319378266,0.01290646786368105,0.022555442214681774,-0.00826282768121357,0.010772203170164574
bp_systolic_3,0.014162412667383046,0.31574333273729505,-0.12027797084340056,0.07174919212273906,-0.024519706518814553,0.8820683332884458,0.947584133243861,0.44682978896293135,-0.0036703088653386516,0.9579724165523429,0.4032376190444659,0.011937175093829896,1.0,0.3842890711270064,-0.007136263868790369,-0.3514603142678067,-0.2412702363923058,-0.23439848096217727,-0.06658076648921793,-0.043899219906605946,-0.06823117465328643,-0.15902254085176934
bp_diastolic_3,0.011783074525313665,0.28752076994123754,-0.037744511687213045,0.010369346611027848,-0.011607877644401663,0.37056128708973357,0.362371343316479,0.8232990975396834,-0.0010215786682758142,0.37921449715751077,0.8717999569299003,-0.05563756890436574,0.3842890711270064,1.0,-0.06181480595287949,-0.08544136241724615,-0.023833789079984978,-0.04570972265537726,-0.02153927972892186,-0.020614740689669613,0.010381210978327364,0.019983334375788486
