,gender,age_years,race_ethnicity,race_ethnicity_asian_detail,age_months_at_exam,us_military_active_duty_ever,country_of_birth,us_citizenship_status,education_20_plus,marital_status,sp_interview_language,sp_interview_proxy_used,sp_interview_interpreter_used,family_interview_language,family_interview_proxy_used,family_interview_interpreter_used,mec_interview_language,mec_interview_proxy_used,mec_interview_interpreter_used,mec_acasi_language,household_size,family_size,mec_weight_2yr,household_income_range,family_income_range,poverty_income_ratio,hs_questionnaire_source
gender,1.0,0.03191941950847864,-0.014513988846903273,-0.011941571954042086,0.02423538856824227,0.26995377095450585,-0.002275111831566735,0.005626710773466025,0.024110220190180137,0.015614039034433364,0.006761482322313606,0.036211692511731786,-0.009991253773121433,-0.0013845859007696555,-0.00771759249342186,-0.00110716323164035,0.005790020945798441,0.012009701690457949,-0.010115050962585902,-0.000863446770282411,-0.016999093333022523,-0.0069464949318638275,0.006754994690954071,-0.024976356606835552,-0.02703554590419507,-0.02632136319398467,0.03569582540022894
age_years,0.03191941950847864,1.0,0.03318169739961907,0.0033662388123682466,0.9987553410634483,-0.25194845491617424,0.06075449121385827,0.0824778493371608,-0.08929038930334118,-0.24971268375286107,-0.01893742871929953,0.7519436561306825,-0.049805638035618514,-0.04057085054246913,0.001526244835913398,-0.015809460294950357,0.11714107538665285,-0.012590686347018737,-0.09449289476742052,0.20855268709935149,-0.4829022384846049,-0.47078999705744534,0.26985585051738853,0.01629344661956815,0.01705625029602297,0.1694026977855815,0.6674227161893462
race_ethnicity,-0.014513988846903273,0.03318169739961907,1.0,0.9684226454450171,-0.002005135957852996,-0.022381644619688657,-0.014037572641024733,-0.06787681488213579,0.2662945246880286,-9.944943759849798e-05,-0.47981862851733265,0.03766780884095383,-0.10730280209409505,-0.36504222971428046,-0.017122631424912566,-0.10809361402858422,-0.33886359768029106,2.402169142494453e-05,-0.014902003940335418,-0.19796390257734522,-0.1193060411756316,-0.11286210804896318,-0.07030099727477632,-0.022247545855609258,-0.024297021725112344,0.150603011666266,0.02299387430637406
race_ethnicity_asian_detail,-0.011941571954042086,0.0033662388123682466,0.9684226454450171,1.0,-0.002388311275991816,-0.000473002679318992,8.311927288022538e-05,-0.022497608879136214,0.2507661365622133,-0.010626432052039905,-0.4143439029446386,0.015447841732533465,-0.13956891927192203,-0.313149495894753,-0.009000484940648026,-0.14010305328401582,-0.2940156928883415,0.0018786495885917253,-0.054414298401087434,-0.14635631022056791,-0.07406213861408545,-0.07008837973079267,-0.10849861919543854,-0.00503372377632702,-0.009246232789003187,0.14786252783272283,0.004420619139159826
age_months_at_exam,0.02423538856824227,0.9987553410634483,-0.002005135957852996,-0.002388311275991816,1.0,-0.07336108002025689,0.17652685128026505,0.1327343890383749,,,-0.015649361711492088,0.667049712481398,-0.004224984474273551,0.006858610965650491,0.00013678530544652913,-0.0175165285289202,0.059399749158808766,0.03984056071815045,-0.027696407923220586,0.06772737008136691,0.010276263759447082,-0.0078043576642050855,0.2327560379684845,0.024766225563406036,0.017359821896585026,0.019894648736248265,0.8428264916970164
us_military_active_duty_ever,0.26995377095450585,-0.25194845491617424,-0.022381644619688657,-0.000473002679318992,-0.07336108002025689,1.0,0.04040757376101356,0.10193020412259153,-0.07702103305429162,0.06616582606999226,0.09511691358227323,-0.003346987932525147,-0.045894600506520423,0.06731711134283003,-0.010015296036942515,-0.039975312160597416,0.08090262608895699,-0.013825321813022156,-0.05120391264742185,0.07397706478914504,0.1174446352575863,0.11598785951752545,-0.014578928200820377,0.012977373271411234,0.015153104697368395,-0.05073592920254809,
country_of_birth,-0.002275111831566735,0.06075449121385827,-0.014037572641024733,8.311927288022538e-05,0.17652685128026505,0.04040757376101356,1.0,0.2195760508433348,-0.004644683921864896,0.15022884585160684,0.07911615489220548,0.0648668494509416,-0.0537303992783143,0.0581890517054399,0.0044384346846295325,-0.04630507273605785,0.09449768514850734,0.0014743307206534458,-0.0724711669861366,0.10813831289880935,-0.011022761660440205,-0.011109405772047656,-0.03003648144889419,0.08085595858296775,0.0833487934476485,0.030004511430432052,0.06872651666810474
us_citizenship_status,0.005626710773466025,0.0824778493371608,-0.06787681488213579,-0.022497608879136214,0.1327343890383749,0.10193020412259153,0.2195760508433348,1.0,-0.2027517289759113,-0.04235995890712577,0.3182094552955088,0.13108028935192897,-0.20731397925222567,0.22747251425719667,0.010267710759935728,-0.16947245263153654,0.3927593961120277,-0.03536263716419988,-0.2627838752381366,0.4568166161330076,0.0694609333562056,0.05182763969268709,-0.07971197251993326,0.03730617022995842,0.039855254408962926,-0.058450201405413925,0.11814137401692583
education_20_plus,0.024110220190180137,-0.08929038930334118,0.2662945246880286,0.2507661365622133,,-0.07702103305429162,-0.004644683921864896,-0.2027517289759113,1.0,-0.04264818744277216,-0.3829851338892761,0.026159202732469078,0.11970436124687939,-0.26887924249382866,-0.03391072581937983,0.08666149594451775,-0.34073168203943777,0.03700153284770539,0.18857123347702134,-0.333095732808968,-0.1718171648850498,-0.1470996784887053,0.22307763379075157,0.06954189875982429,0.07049445487591621,0.46807604752589177,
marital_status,0.015614039034433364,-0.24971268375286107,-9.944943759849798e-05,-0.010626432052039905,,0.06616582606999226,0.15022884585160684,-0.04235995890712577,-0.04264818744277216,1.0,-0.03439833948643113,-0.07674632620100867,0.06243691078153025,-0.01587846854930669,-0.20747678381086437,0.048461531472200885,-0.041239318765365525,-0.004536211874269456,0.06360141017819934,-0.08870677317469365,-0.03825353141615709,-0.10491881778145412,-0.050313644354195323,-0.008805644423136243,-0.06883226694555376,-0.15887317313816057,
sp_interview_language,0.006761482322313606,-0.01893742871929953,-0.47981862851733265,-0.4143439029446386,-0.015649361711492088,0.09511691358227323,0.07911615489220548,0.3182094552955088,-0.3829851338892761,-0.03439833948643113,1.0,-0.04334647258902423,-0.09023858774914677,0.6799805385705355,0.01238517952951786,-0.06357414399424931,0.6310677380243588,-0.0006868397720333913,-0.2227452901721854,0.5489744779898099,0.18281977711212383,0.15649393709683432,-0.14613529762391567,0.07650577160318306,0.0729080044528662,-0.20618607636850256,-0.029219672680723358
sp_interview_proxy_used,0.036211692511731786,0.7519436561306825,0.03766780884095383,0.015447841732533465,0.667049712481398,-0.003346987932525147,0.0648668494509416,0.13108028935192897,0.026159202732469078,-0.07674632620100867,-0.04334647258902423,1.0,-0.012759655329830241,-0.03897624793651353,0.035456164122950676,-0.0013977646064113525,0.1052245428189874,0.09062769702565514,-0.07270320112017858,0.14288778055746454,-0.3673637641062876,-0.3839690313424096,0.35163455642214375,0.021344924756304874,0.016215108430649307,0.1457115922370078,0.8255882324038968
sp_interview_interpreter_used,-0.009991253773121433,-0.049805638035618514,-0.10730280209409505,-0.13956891927192203,-0.004224984474273551,-0.045894600506520423,-0.0537303992783143,-0.20731397925222567,0.11970436124687939,0.06243691078153025,-0.09023858774914677,-0.012759655329830241,1.0,-0.01642085027376965,-0.006618145891533935,0.7969944651989893,-0.09372007388262826,0.043878332709528865,0.5413663271303493,-0.4012763060133708,-0.07405127586364837,-0.07686496380242508,0.09735924579662192,0.0018276157647183022,-0.003054772858455198,0.05292591778442921,-0.009965202231573118
family_interview_language,-0.0013845859007696555,-0.04057085054246913,-0.36504222971428046,-0.313149495894753,0.006858610965650491,0.06731711134283003,0.0581890517054399,0.22747251425719667,-0.26887924249382866,-0.01587846854930669,0.6799805385705355,-0.03897624793651353,-0.01642085027376965,1.0,0.009358292679398259,-0.014846722106032776,0.4308361830295965,0.005856144222210901,-0.1789291150152322,0.3586024970114801,0.1340175985810835,0.11286513229028539,-0.11557896735326183,0.12191638667438935,0.11938807543827334,-0.1591013003308934,-0.03020740302028012
family_interview_proxy_used,-0.00771759249342186,0.001526244835913398,-0.017122631424912566,-0.009000484940648026,0.00013678530544652913,-0.010015296036942515,0.0044384346846295325,0.010267710759935728,-0.03391072581937983,-0.20747678381086437,0.01238517952951786,0.035456164122950676,-0.006618145891533935,0.009358292679398259,1.0,-0.006428609353622727,0.008045618654836297,0.048515010682366445,-0.006190329838126391,0.009141968394826257,0.021403287525631042,0.024092861632056272,0.01918345901486702,-0.007905753027861532,0.012697308585233671,0.01588684470352914,0.01280520844690768
family_interview_interpreter_used,-0.00110716323164035,-0.015809460294950357,-0.10809361402858422,-0.14010305328401582,-0.0175165285289202,-0.039975312160597416,-0.04630507273605785,-0.16947245263153654,0.08666149594451775,0.048461531472200885,-0.06357414399424931,-0.0013977646064113525,0.7969944651989893,-0.014846722106032776,-0.006428609353622727,1.0,-0.0479703983914848,0.027920236983095162,0.40961705148499145,-0.27973201902333733,-0.07681515672104752,-0.07971239901651726,0.09725894010902364,-0.007578186049578915,-0.012450772356443946,0.05105867045058759,-0.002123418429975938
