,d1_energy_kcal,d1_carbs_g,d1_total_sugars_g,d1_fiber_g,d1_caffeine_mg,d1_alcohol_g,d1_plain_water_g,d1_tap_water_g,d1_bottled_water_g,phq9_tired_little_energy
d1_energy_kcal,1.0,0.8917947855559799,0.6699912088690052,0.5958589669000351,0.21267059507021122,0.2851703379029876,0.10538006150005534,0.08893853879592965,0.043015415322493804,-0.02067113117122502
d1_carbs_g,0.8917947855559799,1.0,0.8384617555921272,0.5954501840129229,0.1851054429515989,0.10310676070005599,0.04385484106925408,0.037444587256585934,0.01744983371557395,0.0019129630949228076
d1_total_sugars_g,0.6699912088690052,0.8384617555921272,1.0,0.28816074972324224,0.19127776134682942,0.006630559119060766,-0.05313373255054096,-0.03790442486042346,-0.028939420889435668,0.04437189178673723
d1_fiber_g,0.5958589669000351,0.5954501840129229,0.28816074972324224,1.0,0.08323424349007334,0.040500477268031625,0.19479240101568024,0.14649471590704025,0.09822206788954303,-0.07236726721860745
d1_caffeine_mg,0.21267059507021122,0.1851054429515989,0.19127776134682942,0.08323424349007334,1.0,0.11105058916642283,0.06203325459004183,0.0618031028556681,0.015449371139227036,0.03460514319040374
d1_alcohol_g,0.2851703379029876,0.10310676070005599,0.006630559119060766,0.040500477268031625,0.11105058916642283,1.0,0.04888920344054221,0.05829635417494081,0.002157197304949295,-0.02437637084987488
d1_plain_water_g,0.10538006150005534,0.04385484106925408,-0.05313373255054096,0.19479240101568024,0.06203325459004183,0.04888920344054221,1.0,0.6529925873933927,0.6111932098811534,-0.014907056134894273
d1_tap_water_g,0.08893853879592965,0.037444587256585934,-0.03790442486042346,0.14649471590704025,0.0618031028556681,0.05829635417494081,0.6529925873933927,1.0,-0.20033514552475168,-0.009873123506696077
d1_bottled_water_g,0.043015415322493804,0.01744983371557395,-0.028939420889435668,0.09822206788954303,0.015449371139227036,0.002157197304949295,0.6111932098811534,-0.20033514552475168,1.0,-0.008307299159099953
phq9_tired_little_energy,-0.02067113117122502,0.0019129630949228076,0.04437189178673723,-0.07236726721860745,0.03460514319040374,-0.02437637084987488,-0.014907056134894273,-0.009873123506696077,-0.008307299159099953,1.0
