,tooth_01_count_code,tooth_02_count_code,tooth_03_count_code,tooth_04_count_code,tooth_05_count_code,tooth_06_count_code,tooth_07_count_code,tooth_08_count_code,tooth_09_count_code,tooth_10_count_code,tooth_11_count_code,tooth_12_count_code,tooth_13_count_code,tooth_14_count_code,tooth_15_count_code,tooth_16_count_code,tooth_17_count_code,tooth_18_count_code,tooth_19_count_code,tooth_20_count_code,tooth_21_count_code,tooth_22_count_code,tooth_23_count_code,tooth_24_count_code,tooth_25_count_code,tooth_26_count_code,tooth_27_count_code,tooth_28_count_code,tooth_29_count_code,tooth_30_count_code,tooth_31_count_code,tooth_32_count_code,tooth_02_sealant,tooth_03_sealant,tooth_04_sealant,tooth_05_sealant,tooth_07_sealant,tooth_10_sealant,tooth_12_sealant,tooth_13_sealant,tooth_14_sealant,tooth_15_sealant,tooth_18_sealant,tooth_19_sealant,tooth_20_sealant,tooth_21_sealant,tooth_28_sealant,tooth_29_sealant,tooth_30_sealant,tooth_31_sealant,chewed_gum_before_draw,oral_hpv_high_risk_any,oral_hpv_type_6,oral_hpv_type_11,oral_hpv_type_16,oral_hpv_type_18,oral_hpv_type_26,oral_hpv_type_31,oral_hpv_type_33,oral_hpv_type_35,oral_hpv_type_39,oral_hpv_type_40,oral_hpv_type_42,oral_hpv_type_45,oral_hpv_type_51,oral_hpv_type_52,oral_hpv_type_53,oral_hpv_type_54,oral_hpv_type_55,oral_hpv_type_56,oral_hpv_type_58,oral_hpv_type_59,oral_hpv_type_61,oral_hpv_type_62,oral_hpv_type_66,oral_hpv_type_67,oral_hpv_type_68,oral_hpv_type_69,oral_hpv_type_70,oral_hpv_type_71,oral_hpv_type_72,oral_hpv_type_73,oral_hpv_type_81,oral_hpv_type_82,oral_hpv_type_83,oral_hpv_type_84,oral_hpv_positive_control,oral_hpv_internal_control,oral_hpv_any_type,oh_told_gum_disease,oh_self_rated_dental_appearance
tooth_01_count_code,1.0,0.2403162737613422,0.08458196148970361,-0.022426158099771075,-0.06668018391579664,-0.014333768900034731,-0.01371550541967108,-0.008922507405306614,-0.0041824949992265124,-0.006499420157075371,-0.021620822175657695,-0.06102967543969065,-0.02887001047326183,0.11538081634866222,0.2517382067401934,0.6674113448892366,0.5401131661692498,0.20799495169483018,0.09182338708696625,-0.01865487948333606,-0.05009234950495903,-0.031258767377733025,-0.014641254284083732,-0.0029322670687111038,-0.0034520956426169836,-0.01301589519558092,-0.03210155257846373,-0.04607784126061537,-0.019556126440287303,0.08397099254866362,0.20303548218768197,0.5842773398750919,0.1744115498163335,0.07435772843391705,0.024450988091292893,-0.03745224993985489,0.1184479262001617,0.12203027343431866,-0.023792878798664693,0.025231096150515282,0.0691421855125198,0.18628956516317316,0.18289837193568123,0.0945653084476804,0.03974662003752214,-0.0029577526811700575,-0.003295940491289212,0.03903274082931859,0.0870738285107323,0.18549380202410343,0.032015934335804665,0.027086107744387144,0.030854851104993586,0.031058384144635947,-0.0022858192029175995,0.015574439617458307,0.0250869769541426,0.02708376187665113,0.012890013003127946,0.02298076452322111,0.025759201925268566,0.02508697695414246,0.014469988660379275,0.030890057865721198,0.030795251483621666,0.02899657268910742,0.012441285393023931,0.021305045977998798,0.03509124196376868,0.03408899998356653,0.019913778320175303,0.008565461236406351,0.02055030053764164,0.02938518211642216,0.048952783379777674,0.02903447959036477,0.02338107706511962,0.027141992536437162,0.021305045977998645,0.025357567979971168,0.02333150517575503,0.01665206018213545,0.0238943448389888,0.0231618077621274,0.01718988768908007,0.010706826545507702,0.03412904421805854,0.027083761876651034,0.013024433278788909,0.13597444935751737,-0.013202730411294081
tooth_02_count_code,0.2403162737613422,1.0,0.5075268442403481,0.05173867026138898,-0.0705035132853117,-0.03866077500154819,0.026256515714407694,0.04646355931514653,0.05421970494574457,0.03544909309074675,-0.031893413563563185,-0.07966548915759876,0.0401911867072538,0.5140931145764731,0.805723978370558,0.2641328249994106,0.26303655185996566,0.7271776614144682,0.45152230917048425,0.0008880850961815434,-0.11250165376809294,-0.08916569020077282,-0.024208039084148217,-0.0038135751840609883,-0.010030196199469736,-0.027611799198211953,-0.08496534476793109,-0.11047905023911751,0.014603179587858513,0.4407583239647571,0.7160136700269298,0.25482487731921627,0.8944402601799616,0.26430459050152305,0.1238331298293703,0.01336888451097516,0.5926291469740883,0.5989820973759077,-0.008219291207279742,0.1049014968479297,0.25993848245954093,0.857735247813431,0.840267317254057,0.3447155713888523,0.11399393400984317,0.07847952784668973,0.07836296618180742,0.15308866140312924,0.3274700049263129,0.8362970377674455,0.026387639342234072,0.021933300216117533,0.012992510752421948,0.022945656650057985,-0.007286071658229265,-0.0011958992880739083,0.022945656650058037,0.012930087704477528,0.018250820406654215,0.002610779212642584,0.017758849515834115,0.022945656650058557,0.0031561897603420625,0.025827105106419758,0.01775884951583433,0.00436030633898994,-0.01092486959112,0.00993990223787674,0.01671109852699721,-0.0009679198790284569,0.017240582391367956,0.008864363001409746,-0.013328497879394823,-0.011277448984480623,0.021138862930641895,0.02393089300130691,0.015142725475080514,0.0019183802100237765,0.018910458637679133,0.008789946812753148,-0.0014145182498401174,0.013755476050997702,0.013131687836111098,0.017853287436719194,0.0009649074171136004,0.008864363001409432,0.0006797125094005187,0.018910458637679504,-0.0634350095487059,0.03498985373471729,0.025438414838548244
tooth_03_count_code,0.08458196148970361,0.5075268442403481,1.0,0.32813219664669757,0.14321547630628595,0.18915635643664896,0.09642948460914663,0.1076890893496981,0.10552214162684023,0.09699339043588623,0.1869034121909301,0.1520315960378706,0.328210853249781,0.7664618595855563,0.503922443961463,0.1121430643663627,0.11279817635687908,0.5307238471928138,0.6800250914767964,0.26348862523910466,0.07400990182981769,0.09701054647995387,0.006883857336983834,0.01337865356317685,0.012375171744485707,0.015409139833496644,0.09974871254692744,0.07911080565422657,0.2660710601227307,0.6627452075096021,0.5007447696463554,0.12025233880592266,0.3753847311921441,0.7038288046287321,-0.013760419274517082,-0.06790607793324176,0.6779313484840355,0.6797504563447145,-0.07518070251941597,-0.01161128123677116,0.6741602860940468,0.3769515751914167,0.4080241695369764,0.7350320611483643,-0.02150373907871375,-0.0787031890071601,-0.06884928530835656,-0.0005572024642150769,0.7296821371183139,0.4073890481250693,0.010274707557529473,0.028469735160897743,0.016794987818786914,0.029398701096181035,0.005214735879524253,0.013751122180490726,0.029398701096180875,0.031190668103030037,0.01105200528327528,0.023473583829751895,0.013806145783458276,0.02939870109618125,0.018125740370506377,0.026336106050719867,0.01886975466946985,0.011052005283274177,0.003240292562982073,0.019569989301081968,0.0018466375358333642,0.01049568581599414,0.012652160062067746,0.010765418689516124,-0.013258075834466445,-0.0065295376779783065,0.020336018872350644,0.030305199369811513,0.027269234048284827,0.011524465070497463,0.02538032870205582,0.018125740370507137,-0.01802863637285762,0.014823055516749744,0.027271443815760802,0.02440038987389055,0.007640599005488346,0.01722466990322594,0.009819624460839145,0.019569989301082114,-0.06123495167071341,-0.04986806317311256,0.018474145287542668
tooth_04_count_code,-0.022426158099771075,0.05173867026138898,0.32813219664669757,1.0,0.5987030193640452,0.6290309345828065,0.4991543925764425,0.49086074366025606,0.48917858690516425,0.49249081949885254,0.6372216835679577,0.5891079054388165,0.8002904474371395,0.32997539069405035,0.047075994983656076,-0.013038142270547767,-0.025171317610094557,0.05942816082617571,0.33671678107633674,0.6975386736467355,0.5262151362021761,0.5687897721576809,0.4506872982209802,0.4217543770416302,0.4236062033678009,0.45801377355126666,0.5707588002431725,0.5215131197013445,0.6932683833304448,0.31806927890774517,0.05365082535502829,-0.03452642863070935,-0.6626314824022502,-0.28112231034101925,0.1893484571757991,0.007935215850297517,-0.6169398009869419,-0.6199547058705561,0.015370572161306275,-0.03880221097281298,-0.2798316254062317,-0.6570044437650121,-0.6954225071275136,-0.34958005678017445,-0.025835544117506663,-0.04558704946871534,-0.053624511292825645,-0.07309063280285055,-0.3346220015004208,-0.6885504928719396,-0.04227819093601058,0.02871418326139194,0.018285557671083925,0.02301937732402272,-0.01126056831063788,-0.0033449438819144793,0.029476264905367037,0.030950824667074293,0.02277911077478685,0.009596125258368877,0.021206549043457572,0.029476264905367432,0.013124922926932668,0.031665267016563886,0.021206549043457094,0.022779110774786553,0.00608991325826903,0.015329498850635904,0.01243603148733535,0.01909418651554602,0.024897671536589328,0.016208220677749116,-0.01058750991702571,-0.00025220506192869115,0.027470469366673765,0.030221468506877215,0.03236564423759129,0.021110870744340215,0.024702294340498816,0.027840858689003527,-0.015228527499305684,0.023585823198036388,0.02514935718501901,0.023871343555187108,0.0203958625770463,0.013892760580928016,0.02738243141202713,0.02470229434049837,-0.04605093051695066,-0.14473764061474453,0.05967129473780931
tooth_05_count_code,-0.06668018391579664,-0.0705035132853117,0.14321547630628595,0.5987030193640452,1.0,0.6703982799595413,0.5914850452548502,0.5810191000967987,0.5826498879060306,0.5905160982523954,0.678986148038815,0.807170045915034,0.5917116306595881,0.1503494147561843,-0.06974153514855279,-0.05727477449391375,-0.052686500505419565,-0.056659833371591736,0.16684112029936352,0.5602753089877256,0.704799129346187,0.5944668902425351,0.541392330640776,0.5229784112477912,0.5155448457008471,0.5445019518718202,0.595907055041094,0.6931970540779433,0.5429778354810805,0.16408056401079138,-0.06000809943160966,-0.05885965339737496,-0.5461661626962785,-0.28819484626680897,0.001658737034819193,0.488987243459981,-0.6081180673945871,-0.6035671846701749,0.3500759126782823,0.013711583061791786,-0.2857131111076876,-0.5452964125359483,-0.5865653871069909,-0.35543268526453803,0.005079573327211058,0.2029161384674992,0.18860340200203354,-0.04209614998175245,-0.35261955392480304,-0.5826612037104097,-0.06434797074458731,0.026988585077899023,0.019983802232151657,0.027929827379843453,-0.014940974309356987,-0.00176755883337489,0.02792982737984331,0.02383086767176832,0.02295388471203633,0.009613956443744262,0.032600090879021916,0.027929827379843217,0.013639780727304691,0.02479821121722806,0.022293862255321494,0.014713403530232597,0.003665814500348478,0.014961301380843376,0.018728297081420386,0.023355524166235663,0.021995279441590083,0.006573426309671709,0.007509161433355747,0.015366031122804198,0.029892408494620566,0.028847766699939596,0.03147613707477196,0.009713177672034336,0.023830867671767442,0.03313594439396904,0.007850878868558255,0.023890995503567707,0.020423923833556446,0.02283858253758623,0.010936513974181742,0.013146852619343395,0.018107963599035735,0.017917823477817514,-0.03708687712941653,-0.1344830753974177,0.08027957087483795
tooth_06_count_code,-0.014333768900034731,-0.03866077500154819,0.18915635643664896,0.6290309345828065,0.6703982799595413,1.0,0.6433782119217537,0.6281259850761176,0.6302931825583761,0.6278966265814551,0.8542264326695168,0.674213426860057,0.6312313722233412,0.1877791267821474,-0.026325536006557328,-0.018943320651399954,-0.020711643621851145,-0.020224985667872664,0.18974760932352888,0.623161501801135,0.6484918976105765,0.7211456444145731,0.59677322179951,0.5604531461806783,0.5646305656009546,0.6012658339411168,0.7343129621215844,0.6495687776236241,0.6269539718961478,0.1940385819692578,-0.02370114153180207,-0.021607026194483313,-0.5250935833089021,-0.2926593796775007,0.0006124222114501783,0.09805723311923538,-0.5979360988341382,-0.6074128159655982,0.1130749090408829,0.0119703290337979,-0.2925338001094226,-0.5227474971459966,-0.5722985701441746,-0.34247659531657554,0.034080880111752795,0.04106580176993869,0.06100117656390159,0.005350272122580064,-0.3371630572505835,-0.5654365392008732,-0.034467348266508116,0.038599114378152125,0.029622321706406995,0.03884299503541073,-0.011244319349771837,0.01537635955401445,0.03884299503541049,0.039339639324123155,0.026192612476505266,0.024031222847038448,0.035145725049559595,0.03884299503541041,0.014766658449437553,0.039591489928369424,0.021618022842424915,0.03340344775816583,0.023564016154132245,0.019936348383769724,-0.00027277090550346245,0.026794544733382,0.02938962125842314,0.020132274630934636,0.014116251788639454,0.019273070430403307,0.033080527324994634,0.03908999962917142,0.039845182237146934,0.032683886059975,0.03157832294798196,0.04035684336516254,0.022293611852300207,0.026643948023355565,0.027525787550906147,0.031202492295088757,0.02111037813302839,0.02300831386392531,0.028800939907381924,0.031578322947982115,-0.04882857002796414,-0.11046692939135858,0.0823401075969363
tooth_07_count_code,-0.01371550541967108,0.026256515714407694,0.09642948460914663,0.4991543925764425,0.5914850452548502,0.6433782119217537,1.0,0.796515131096577,0.7886396056416276,0.8425770585126164,0.6397517282115658,0.5871212884907461,0.5045217886510106,0.10096071715317892,0.031572314918972354,-0.012786071530474044,-0.00874868020116397,0.0431918803087901,0.10823184075042924,0.4732886081501913,0.5619126770536252,0.5358883224201532,0.6492678988538084,0.6536392776550813,0.6539122645797694,0.6557463191314313,0.5441305266061028,0.5475950858769405,0.4879985556907127,0.10831642329488715,0.03270246262010299,-0.010360916875314343,-0.30224213719096876,-0.42484944728488505,0.04064496702323027,0.08050621293989474,-0.4851601689812456,-0.5215863940626344,0.07416885185235289,0.03810994207655055,-0.42369306880166546,-0.3034228040417623,-0.3286381361173999,-0.4852987846906638,0.054269284280120886,0.09559325608634266,0.06935651873452858,0.03433336762874715,-0.4716887827665079,-0.3255264141532559,-0.03990317993572515,0.044615008221982166,0.025145896389138316,0.04488798504869664,-0.003944600820562463,0.03359112384242842,0.04488798504869664,0.038293315882357605,0.033591123842428815,0.032143204851201874,0.020296870144140364,0.044887985048696684,0.026378061537959758,0.04572808037466585,0.029645811369520648,0.04023562997775515,0.031657829582741256,0.02756568608668416,0.015691906380602173,0.04356505870487313,0.029746685362584024,0.02915174947265336,0.020482059492795215,0.026448195867342966,0.04635864410311444,0.04516486747689823,0.03561074618345339,0.03946678649077155,0.038293315882357334,0.046589804485705356,0.019287891165863984,0.03406048710526534,0.03498089476545664,0.037896834187184696,0.029123601365677324,0.021201272343747822,0.030160001961904406,0.03829331588235761,-0.03217697006914282,-0.1244639858901721,0.0825437158071709
tooth_08_count_code,-0.008922507405306614,0.04646355931514653,0.1076890893496981,0.49086074366025606,0.5810191000967987,0.6281259850761176,0.796515131096577,1.0,0.8831673325660284,0.7787619097856102,0.6322308290098121,0.5790564231331936,0.49264620847934104,0.10712705238493551,0.04529826245221054,-9.093318212684357e-05,-0.005302009785062625,0.06670781533648196,0.11405470402089816,0.4642143546962375,0.5316001647023999,0.5213628511759071,0.6671660068760163,0.6922786802966966,0.6886691207813451,0.668731159224608,0.5310405801724868,0.5407569684046869,0.4735198424116605,0.11604838474876789,0.056456365996880385,-0.011222241305988818,-0.2708978249975588,-0.4469255916113466,0.045655635073683656,0.07912456604525588,-0.48975978439869566,-0.48981225805173156,0.0620437312628472,0.0344398724387534,-0.4379892962966659,-0.2698036052396722,-0.2955609604606068,-0.4948671220629595,0.06812374785803466,0.08547298556176754,0.08168561397852207,0.050282186728957456,-0.4973254821234538,-0.29224895829327335,-0.03329723247945241,0.046880529173474385,0.023110742942300384,0.04710523386461447,-0.001861075174602169,0.028354054154252954,0.047105233864614446,0.04757235379513625,0.03517395830236772,0.027269845619589585,0.030925881423960393,0.04710523386461475,0.020898722834802184,0.04781333461243279,0.024528728473349328,0.041993862450480306,0.03284993434662869,0.040231812556717865,0.005479910373732165,0.045071483943945036,0.04164400423909934,0.024481048333731346,0.01544435677638184,0.02187701671469751,0.04205371402093922,0.04733609720464893,0.048058452914739355,0.04129276611659308,0.04023181255671753,0.048559098040532246,0.0024445991170009033,0.02888510758609455,0.036477927547331535,0.039876206375801394,0.030427441287993164,0.01632069888915453,0.025095301658947394,0.04023181255671806,-0.05276985650740578,-0.11062258080993351,0.07924093791981669
tooth_09_count_code,-0.0041824949992265124,0.05421970494574457,0.10552214162684023,0.48917858690516425,0.5826498879060306,0.6302931825583761,0.7886396056416276,0.8831673325660284,1.0,0.7928030810761576,0.6299523901649706,0.576712477316106,0.48816788876871176,0.11046184003704038,0.051492000168427074,-2.993091028208138e-05,-0.0011115433167458296,0.06415922343213379,0.11593868894904466,0.469381280764638,0.5358353386344165,0.5274792199246102,0.6711478602473653,0.6886099391437716,0.6888718631215602,0.6714391447673063,0.5319322163960789,0.539928396374349,0.4708026933147174,0.11678488306318038,0.06321907235487743,-0.008164307036970372,-0.2675221587124559,-0.4513310598155299,0.05105515616345801,0.08307452309460182,-0.4818216315589003,-0.4830494121191894,0.061216888443123896,0.03651257043238913,-0.4419389101058661,-0.26639869217562795,-0.29099871931077503,-0.5001369935173392,0.07461341272174894,0.08380020801665433,0.08686004115218991,0.04171178004855393,-0.5004509933900406,-0.2877437645511003,-0.03548162798906667,0.047358783251497776,0.02949995389861954,0.04756725121698313,0.007982002460105142,0.028654971015876215,0.04756725121698307,0.048003872113701294,0.04233730222317519,0.027453534031717998,0.044008371541090545,0.04756725121698334,0.028126276888801427,0.04823049163599006,0.031174178632645166,0.03549613661952408,0.03306115943507108,0.02959530758632345,0.008104943328633327,0.051450635939275714,0.038531254913334624,0.030014562665263308,0.024189454062011884,0.02691141609837969,0.05353004199837331,0.04778255340368916,0.04846178339683153,0.041660899308900864,0.040640446302750065,0.04893623293786796,0.014278530964857247,0.03592440410768591,0.03676677586399539,0.04029940592288467,0.02419011234435523,0.03274315927119622,0.03799717333909339,0.04064044630275047,-0.036592906404467,-0.11246735542460244,0.07753518986687474
tooth_10_count_code,-0.006499420157075371,0.03544909309074675,0.09699339043588623,0.49249081949885254,0.5905160982523954,0.6278966265814551,0.8425770585126164,0.7787619097856102,0.7928030810761576,1.0,0.6425396399684531,0.5804728556164943,0.4969123664150198,0.10537468297587156,0.03916621494373008,-0.01340229201356477,-0.007952528869366064,0.05335817191692234,0.11305015714753495,0.48404982846927647,0.5542587465940562,0.5382561615733008,0.6539647588386458,0.6549540322442114,0.6519813837372257,0.6661738573195308,0.5518981489472414,0.5506859221770269,0.4835910269633061,0.11659728685060125,0.04534837405268948,-0.01310596847654538,-0.27507790334014187,-0.4099262245851577,0.03308565417026047,0.07681178354887591,-0.4820463126669786,-0.46488062051699947,0.06995298922464689,0.036885067601030976,-0.40607955968107234,-0.2784700516309803,-0.30245643804360034,-0.4593803364360356,0.044155353909641856,0.09727636977608511,0.07140848371364453,0.011683217740867164,-0.45864371548975585,-0.2992713506756578,-0.038055400181987026,0.05303462779157314,0.037638877874318605,0.05315277686764397,0.012894824427310499,0.04086045800912992,0.05315277686764405,0.05342228134960234,0.047551753942796385,0.038459173118779985,0.036375147717012515,0.05315277686764492,0.030318906546393614,0.05357139465273387,0.03637514771701251,0.04755175394279352,0.03205560891689511,0.035416993931773305,0.031240411358952745,0.05004222647358583,0.04728063285131381,0.034694674798401,0.03762126942918721,0.0289797886419054,0.05227084720282675,0.05328239223990887,0.046744827974096737,0.040129391606140666,0.04622016638247019,0.054065323373282216,0.016660701125409794,0.04122290548414914,0.04194151100809795,0.04596317835001036,0.03594440646046838,0.02668821138338495,0.03680103063255733,0.04622016638247107,-0.02134336907652283,-0.12446439413479753,0.07221611517403195
