,cs_smell_smoke,cs_inability_smell_smoke,ec_mom_smoked_in_pregnancy,smoke_100_cigs_lifetime,smoke_questionnaire_source_a,smoke_hh_num_smokers,smoke_work_indoor_policy,smoke_work_exposure_days,smoke_car_exposure_days,smoke_other_indoor_exposure,smoke_restaurant_exposure,smoke_home_rules,smoke_home_rules_guests,smoke_car_rules,smoke_car_rules_others,smoke_exposure_any_location,smoke_nonsmoker_harm_exposure,smoke_cigar_type,smoke_nicotine_replacement_times
cs_smell_smoke,1.0,-0.01863768108145005,,0.003652156725890166,,0.023705841042207573,-0.036757193171449674,0.08287217734928398,-0.044758295999516105,-0.05110528435247193,-0.028714240702708036,0.015823160368416557,-0.006375006427314098,-0.023754969480880322,-0.047310716413901444,-0.01479334565479212,0.001831700780517402,-0.025341364560974328,-0.006460142626058898
cs_inability_smell_smoke,-0.01863768108145005,1.0,,0.02059397576541603,,-0.00673553019812868,-0.004277937313863928,0.028231240161304065,0.0018880135872515827,0.010138333567782789,0.016865124710001334,0.01559748473859063,0.01997049566483691,0.004878462284921166,0.006456645010170836,0.03876497713531648,0.022497481173939952,0.009627813397835382,0.011735266517550837
ec_mom_smoked_in_pregnancy,,,1.0,,-0.053740983930171675,-0.0021254617361923978,,,-0.028218055936949458,-0.002535325265324366,,-0.006609456632526492,0.1146854440444037,0.038510356300764215,0.010101910913968322,-0.02015111593731712,0.00858885298963144,0.004623462726889943,
smoke_100_cigs_lifetime,0.003652156725890166,0.02059397576541603,,1.0,,-0.007069470351510081,-0.050148304684025556,0.10851167434970507,-0.056974005973708164,0.01856156097753144,0.03016924648081529,-0.013776288061598268,0.2833835451223636,-0.028390283000075626,0.1729956280004228,-0.04347838108188143,0.07212062269787355,0.028652176831757588,0.07031484052346712
smoke_questionnaire_source_a,,,-0.053740983930171675,,1.0,-0.0017003072857354727,,,0.07065812108046701,0.03117344143158448,,0.053989039099156144,0.08883879520523516,-0.05571440443790107,0.10402859718191815,0.0829685589821632,0.09256230136484299,-0.03986672824032269,
smoke_hh_num_smokers,0.023705841042207573,-0.00673553019812868,-0.0021254617361923978,-0.007069470351510081,-0.0017003072857354727,1.0,0.004393833097680758,0.007136850326414401,-0.0054734968274054415,0.0021704920031533847,0.00940730519479262,-0.003012854493956256,-0.004236800287997793,0.015269377838479096,-0.003255856108924347,0.01338808351082254,-3.6740625432169187e-05,0.0012713211431745514,0.000893951148683516
smoke_work_indoor_policy,-0.036757193171449674,-0.004277937313863928,,-0.050148304684025556,,0.004393833097680758,1.0,,0.19909843616710862,0.008268691118836591,0.16458356461893892,0.15904339720600766,0.023841901542040134,0.09925470752537598,0.0034302678666272095,0.0820624068335436,0.008906350112597706,0.03139912507759613,0.019107817738848728
smoke_work_exposure_days,0.08287217734928398,0.028231240161304065,,0.10851167434970507,,0.007136850326414401,,1.0,-0.03813183310034908,0.0864424311163936,0.024633345359622364,0.015096629752692346,0.1840403546312025,0.018896325437693873,0.2244713589776855,-0.039826343278134835,0.2572762147425705,0.08167613515729338,0.01140806879214904
smoke_car_exposure_days,-0.044758295999516105,0.0018880135872515827,-0.028218055936949458,-0.056974005973708164,0.07065812108046701,-0.0054734968274054415,0.19909843616710862,-0.03813183310034908,1.0,,0.2057696738826899,0.17911337836462668,-0.013536192317661604,0.14604750462975444,0.019440598868648386,0.2097676115351311,0.004164190976118731,-0.00047736461848527545,0.021378539384271426
smoke_other_indoor_exposure,-0.05110528435247193,0.010138333567782789,-0.002535325265324366,0.01856156097753144,0.03117344143158448,0.0021704920031533847,0.008268691118836591,0.0864424311163936,,1.0,0.1107557239477404,0.004950680218229004,0.06770484853680797,-0.01257495650631853,0.06716403903002449,-0.005044526714978867,0.16317272225398063,-0.04788516060328913,-0.007971225290549581
smoke_restaurant_exposure,-0.028714240702708036,0.016865124710001334,,0.03016924648081529,,0.00940730519479262,0.16458356461893892,0.024633345359622364,0.2057696738826899,0.1107557239477404,1.0,0.0980155703901721,0.08452814161867314,0.13099689228239164,0.05262176026935719,0.10575319918881901,0.08033685318513378,0.02365451269698651,-0.014574404366863965
