,theme
interview_exam_status,other
gender,demographics
age_years,demographics
race_ethnicity,demographics
race_ethnicity_asian_detail,demographics
exam_period_6mo,other
age_months_at_exam,demographics
us_military_active_duty_ever,demographics
country_of_birth,demographics
us_citizenship_status,demographics
education_20_plus,demographics
marital_status,demographics
sp_interview_language,demographics
sp_interview_proxy_used,demographics
sp_interview_interpreter_used,demographics
family_interview_language,demographics
family_interview_proxy_used,demographics
family_interview_interpreter_used,demographics
mec_interview_language,demographics
mec_interview_proxy_used,demographics
mec_interview_interpreter_used,demographics
mec_acasi_language,demographics
household_size,demographics
family_size,demographics
num_children_le5_in_hh,other
num_children_6_17_in_hh,other
num_adults_ge60_in_hh,other
hh_ref_gender,other
hh_ref_age_years,other
hh_ref_country_of_birth,other
hh_ref_education,other
hh_ref_marital_status,other
hh_ref_spouse_education,other
interview_weight_2yr,anthropometry
mec_weight_2yr,demographics
pseudo_psu_var,other
pseudo_stratum_var,other
household_income_range,demographics
family_income_range,demographics
poverty_income_ratio,demographics
px_exam_status,other
px_exam_session_minutes,other
bp_arm_selected,blood_pressure
bp_cuff_size,blood_pressure
bp_pulse_60s,blood_pressure
bp_pulse_regularity,blood_pressure
bp_pulse_type,blood_pressure
bp_max_inflation_level,blood_pressure
bp_systolic_1,blood_pressure
bp_diastolic_1,blood_pressure
bp_enhancement_1,blood_pressure
bp_systolic_2,blood_pressure
bp_diastolic_2,blood_pressure
bp_enhancement_2,blood_pressure
bp_systolic_3,blood_pressure
bp_diastolic_3,blood_pressure
bp_enhancement_3,blood_pressure
bm_exam_status,other
weight_kg,anthropometry
standing_height_cm,anthropometry
bmi,anthropometry
bmi_category_child,anthropometry
upper_leg_length_cm,anthropometry
upper_arm_length_cm,anthropometry
arm_circ_cm,anthropometry
waist_circ_cm,anthropometry
sagittal_abd_diameter_1,other
grip_exam_status,anthropometry
grip_pain_in_hands_30d,anthropometry
grip_difficulty_grasp_objects,anthropometry
grip_difficulty_reach_above_head,anthropometry
grip_months_since_hand_surgery,anthropometry
grip_90deg_arm_possible,anthropometry
grip_seat_adjusted,anthropometry
grip_preferred_hand,anthropometry
grip_start_testing_hand,anthropometry
grip_hand1_trial1_kg,anthropometry
grip_hand1_trial1_effort,anthropometry
grip_hand2_trial1_kg,anthropometry
grip_hand2_trial1_effort,anthropometry
grip_hand1_trial2_kg,anthropometry
grip_hand1_trial2_effort,anthropometry
grip_hand2_trial2_kg,anthropometry
grip_hand2_trial2_effort,anthropometry
grip_hand1_trial3_kg,anthropometry
grip_hand1_trial3_effort,anthropometry
grip_hand2_trial3_kg,anthropometry
grip_hand2_trial3_effort,anthropometry
grip_dynamometer_size,anthropometry
oh_exam_status,other
oh_dentition_status,other
oh_implants_present,other
tooth_01_count_code,oral_dental
tooth_02_count_code,oral_dental
tooth_03_count_code,oral_dental
tooth_04_count_code,oral_dental
tooth_05_count_code,oral_dental
tooth_06_count_code,oral_dental
tooth_07_count_code,oral_dental
tooth_08_count_code,oral_dental
tooth_09_count_code,oral_dental
tooth_10_count_code,oral_dental
tooth_11_count_code,oral_dental
tooth_12_count_code,oral_dental
tooth_13_count_code,oral_dental
tooth_14_count_code,oral_dental
tooth_15_count_code,oral_dental
tooth_16_count_code,oral_dental
tooth_17_count_code,oral_dental
tooth_18_count_code,oral_dental
tooth_19_count_code,oral_dental
tooth_20_count_code,oral_dental
tooth_21_count_code,oral_dental
tooth_22_count_code,oral_dental
tooth_23_count_code,oral_dental
tooth_24_count_code,oral_dental
tooth_25_count_code,oral_dental
tooth_26_count_code,oral_dental
tooth_27_count_code,oral_dental
tooth_28_count_code,oral_dental
tooth_29_count_code,oral_dental
tooth_30_count_code,oral_dental
tooth_31_count_code,oral_dental
tooth_32_count_code,oral_dental
tooth_02_sealant,oral_dental
tooth_03_sealant,oral_dental
tooth_04_sealant,oral_dental
tooth_05_sealant,oral_dental
tooth_07_sealant,oral_dental
tooth_10_sealant,oral_dental
tooth_12_sealant,oral_dental
tooth_13_sealant,oral_dental
tooth_14_sealant,oral_dental
tooth_15_sealant,oral_dental
tooth_18_sealant,oral_dental
tooth_19_sealant,oral_dental
tooth_20_sealant,oral_dental
tooth_21_sealant,oral_dental
tooth_28_sealant,oral_dental
tooth_29_sealant,oral_dental
tooth_30_sealant,oral_dental
tooth_31_sealant,oral_dental
cs_exam_status,other
cs_self_report_smell_problem,other
cs_self_report_taste_problem,other
cs_taste_current,other
cs_taste_loss_cause,other
cs_taste_duration,other
cs_phantom_taste,other
cs_quinine_whole_mouth_grade,other
cs_quinine_whole_mouth_taste,other
cs_nacl_whole_mouth_grade,other
cs_nacl_whole_mouth_taste,other
cs_quinine_tongue_tip_grade,other
cs_quinine_tongue_tip_taste,other
cs_salt_tongue_tip_grade,blood_labs
cs_salt_tongue_tip_taste,blood_labs
cs_nacl_tongue_tip_grade,other
cs_nacl_tongue_tip_taste,other
cs_smell_chocolate,other
cs_smell_strawberry,other
cs_smell_smoke,smoking
cs_smell_leather,other
cs_smell_soap,other
cs_smell_grape,other
cs_smell_onion,other
cs_smell_natural_gas,other
cs_taste_effort,other
diet_day1_weight,anthropometry
diet_2day_weight,anthropometry
d1_recall_status,other
d1_interviewer_id,other
infant_breast_fed,blood_labs
num_recall_days,other
d1_days_btw_intake_hhq,other
d1_intake_day_of_week,other
d1_interview_language,other
d1_main_respondent,other
d1_helper_respondent,other
salt_type_at_table,blood_labs
salt_freq_added_at_table,blood_labs
salt_freq_added_when_cooking,blood_labs
d1_salt_added_at_table_yest,blood_labs
on_any_special_diet,other
d1_num_foods_reported,other
d1_energy_kcal,diet
d1_protein_g,blood_labs
d1_carbs_g,diet
d1_total_sugars_g,diet
d1_fiber_g,diet
d1_total_fat_g,other
d1_sat_fat_g,other
d1_mono_fat_g,other
d1_poly_fat_g,other
d1_cholesterol_mg,blood_labs
d1_vit_e_alpha_tocopherol_mg,other
d1_added_alpha_tocopherol_mg,other
d1_retinol_mcg,other
d1_vit_a_rae_mcg,other
d1_alpha_carotene_mcg,other
d1_beta_carotene_mcg,other
d1_beta_cryptoxanthin_mcg,other
d1_lycopene_mcg,other
d1_lutein_zeaxanthin_mcg,other
d1_thiamin_b1_mg,other
d1_riboflavin_b2_mg,other
d1_niacin_mg,other
d1_vit_b6_mg,other
d1_total_folate_mcg,blood_labs
d1_folic_acid_mcg,other
d1_food_folate_mcg,blood_labs
d1_folate_dfe_mcg,blood_labs
d1_total_choline_mg,other
d1_vit_b12_mcg,other
d1_added_vit_b12_mcg,other
d1_vit_c_mg,other
d1_vit_d_mcg,other
d1_vit_k_mcg,other
d1_calcium_mg,blood_labs
d1_phosphorus_mg,blood_labs
d1_magnesium_mg,blood_labs
d1_iron_mg,blood_labs
d1_zinc_mg,other
d1_copper_mg,other
d1_sodium_mg,blood_labs
d1_potassium_mg,blood_labs
d1_selenium_mcg,other
d1_caffeine_mg,diet
d1_theobromine_mg,other
d1_alcohol_g,diet
d1_moisture_g,other
d1_sfa_c4_g,other
d1_sfa_c6_g,other
d1_sfa_c8_g,other
d1_sfa_c10_g,other
d1_sfa_c12_g,other
d1_sfa_c14_g,other
d1_sfa_c16_g,other
d1_sfa_c18_g,other
d1_mufa_c16_1_g,other
d1_mufa_c18_1_g,other
d1_mufa_c20_1_g,other
d1_mufa_c22_1_g,other
d1_pufa_c18_2_g,other
d1_pufa_c18_3_g,other
d1_pufa_c18_4_g,other
d1_pufa_c20_4_g,other
d1_pufa_c20_5_g,other
d1_pufa_c22_5_g,other
d1_pufa_c22_6_g,other
d1_food_amount_vs_usual,other
d1_plain_water_g,diet
d1_tap_water_g,diet
d1_bottled_water_g,diet
d1_tap_water_source,other
shellfish_past30d,other
clams_past30d,other
crabs_past30d,other
crayfish_past30d,other
lobsters_past30d,other
mussels_past30d,other
oysters_past30d,other
scallops_past30d,other
shrimp_past30d,other
shrimp_times_past30d,other
other_shellfish_past30d,other
unknown_shellfish_past30d,other
fish_past30d,other
breaded_fish_past30d,other
tuna_past30d,other
bass_past30d,other
catfish_past30d,other
cod_past30d,other
flatfish_past30d,other
haddock_past30d,other
mackerel_past30d,other
perch_past30d,other
pike_past30d,other
pollock_past30d,other
porgy_past30d,other
salmon_past30d,other
sardines_past30d,other
sea_bass_past30d,other
shark_past30d,other
swordfish_past30d,other
trout_past30d,other
walleye_past30d,other
other_fish_past30d,other
unknown_fish_past30d,other
urine_albumin_mgl,blood_labs
urine_creatinine_umoll,blood_labs
urine_alb_creat_ratio,urine_labs
sub_fasting_weight,anthropometry
apolipoprotein_b_gl,blood_labs
albumin_gdl,blood_labs
alkaline_phosphatase_iul,blood_labs
ast_ul,blood_labs
alt_ul,blood_labs
bun_mgdl,blood_labs
bicarbonate_mmoll,blood_labs
calcium_total_mgdl,blood_labs
cholesterol_serum_mgdl,blood_labs
creatine_kinase_iul,blood_labs
chloride_mmoll,blood_labs
creatinine_mgdl,blood_labs
globulin_gdl,blood_labs
glucose_serum_mgdl,blood_labs
gamma_gt_ul,other
iron_ugdl,blood_labs
potassium_mmoll,blood_labs
ldh_ul,other
sodium_mmoll,blood_labs
